Year,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Romance,Sci-Fi,Sport,Thriller,War,Western
2006,6.07966457,7.1278826,3.144654088,14.2557652,6.289308176,19.07756813,5.870020964,4.821802935,1.886792453,3.5639413,1.886792453,0.628930818,8.176100629,3.5639413,2.51572327,10.27253669,0.838574423,0
2007,6.426735219,6.16966581,2.570694087,13.88174807,7.197943445,17.48071979,4.627249357,5.398457584,1.542416452,4.11311054,2.313624679,0.771208226,8.997429306,2.570694087,2.05655527,10.79691517,2.313624679,0.771208226
2008,8.385744235,7.1278826,1.677148847,14.67505241,5.870020964,18.23899371,4.612159329,4.821802935,1.677148847,3.5639413,1.467505241,0.838574423,9.853249476,4.192872117,1.886792453,9.014675052,2.096436059,0
2009,7.407407407,6.995884774,2.880658436,13.99176955,5.144032922,17.90123457,5.349794239,5.967078189,0.823045267,3.909465021,1.646090535,0.823045267,10.08230453,6.378600823,1.234567901,8.847736626,0.617283951,0
2010,9.782608696,6.304347826,1.956521739,15.2173913,5,16.30434783,6.086956522,7.173913043,1.086956522,3.695652174,1.086956522,0.652173913,10.2173913,3.043478261,0.869565217,10.2173913,0.652173913,0.652173913
2011,10.52631579,7.780320366,2.974828375,15.56064073,4.805491991,17.39130435,5.263157895,4.347826087,0.915331808,3.203661327,0.686498856,1.14416476,6.407322654,5.263157895,1.14416476,11.4416476,0.915331808,0.228832952
2012,10.07025761,8.430913349,2.107728337,13.81733021,6.088992974,15.69086651,3.7470726,6.088992974,0.93676815,5.152224824,1.405152225,0.93676815,6.791569087,5.152224824,0.93676815,11.70960187,0.702576112,0.234192037
2013,9.534883721,8.604651163,3.023255814,12.09302326,7.209302326,17.6744186,4.186046512,6.279069767,0.697674419,3.720930233,1.627906977,0.697674419,5.581395349,5.581395349,1.162790698,11.39534884,0.697674419,0.23255814
2014,11.38014528,8.958837772,2.421307506,11.62227603,6.053268765,18.40193705,4.358353511,5.326876513,1.210653753,2.663438257,1.694915254,1.210653753,5.569007264,5.569007264,1.452784504,9.443099274,2.179176755,0.484261501
2015,8.522727273,9.375,3.409090909,11.36363636,6.25,18.18181818,4.829545455,4.545454545,2.556818182,3.409090909,1.988636364,0,4.545454545,7.102272727,1.988636364,11.07954545,0.284090909,0.568181818
2016,17.61658031,11.91709845,1.554404145,12.43523316,4.663212435,11.91709845,4.663212435,4.663212435,1.03626943,4.663212435,0,0,3.626943005,8.29015544,0.518134715,10.3626943,1.554404145,0.518134715
