0,386,34,211,260,235,73,150,24,65,8,2,76,278,17,484,44,20
386,0,138,273,40,166,247,231,22,30,12,26,81,224,9,194,27,18
34,138,0,146,4,23,282,246,20,30,8,37,85,211,9,179,27,18
211,273,146,0,213,481,308,215,5,51,71,55,465,121,58,104,14,9
260,40,4,213,0,376,15,14,10,18,13,6,77,22,4,425,5,12
235,166,23,481,376,0,96,112,121,62,97,47,523,97,99,506,113,34
73,247,282,308,15,96,0,192,2,4,23,47,71,67,24,9,2,3
150,231,246,215,14,112,192,0,0,85,13,28,89,69,4,83,5,2
24,22,20,5,10,121,2,0,0,1,6,3,26,0,6,20,40,5
65,30,30,51,18,62,4,85,1,0,1,5,11,84,0,201,1,0
8,12,8,71,13,97,23,13,6,1,0,14,47,4,0,5,2,1
2,26,37,55,6,47,47,28,3,5,14,0,39,3,0,2,2,1
76,81,85,465,77,523,71,89,26,11,47,39,0,34,27,87,27,12
278,224,211,121,22,97,67,69,0,84,4,3,34,0,4,206,1,2
17,9,9,58,4,99,24,4,6,0,0,0,27,4,0,3,1,0
484,194,179,104,425,506,9,83,20,201,5,2,87,206,3,0,24,9
44,27,27,14,5,113,2,5,40,1,2,2,27,1,1,24,0,5
20,18,18,9,12,34,3,2,5,0,1,1,12,2,0,9,5,0
