GrossAction,GrossAdventure,GrossAnimation,GrossComedy,GrossCrime,GrossDocumentary,GrossDrama,GrossFamily,GrossFantasy,GrossFilm-Noir,GrossHistory,GrossHorror,GrossMusic,GrossMusical,GrossMystery,GrossRomance,GrossSci-Fi,GrossSport,GrossThriller,GrossWar,GrossWestern
27972315.97,,,27972315.97,27972315.97,,,,,,,,,,,27972315.97,,,27972315.97,,
,,,,,,381446.3678,,381446.3678,,,,,,,,,,,,
,,,,,,34729565.16,,34729565.16,,,,,,,34729565.16,,,,,
,,,15876263.09,,,,,,,,,,,,15876263.09,,,,,
,,,,1387901.873,,1387901.873,,,,,,,,,,,,,,
,,,53502744.64,,,,,53502744.64,,,,,,,53502744.64,,,,,
,,,16016258.25,,,,,,,,,,,,,,,,,
,,,8634219.516,,,,,,,,,8634219.516,,,,,,,,
,,,1414885.299,1414885.299,,1414885.299,,,,,,,,,,,,,,
,,,,239769.0109,,239769.0109,,,,,,,,,,,,239769.0109,,
184120235.8,,,,,,,,,,,,,,,,184120235.8,,,,
,,,,,,12507474.08,,,,12507474.08,,,,,,,,,,
,,,,,,4630412.462,,,,,,,,,4630412.462,,,,4630412.462,
,,,21163207.79,,,21163207.79,,,,,,,,,21163207.79,,,,,
163241634.3,163241634.3,,163241634.3,,,,,,,,,,,,,163241634.3,,,,
,,,18388749.79,18388749.79,,,,,,,,,,,,,,,,
12597948.39,,,,,,,,,,,,,,12597948.39,,12597948.39,,12597948.39,,
95822594.69,,,,95822594.69,,,,,,,,,,,,,,95822594.69,,
,,,,,,2690349.376,,,,,,,,,2690349.376,2690349.376,,,,
,,,11728794.58,,,,11728794.58,,,,,,,,,11728794.58,,,,
,,,,89195.63127,,89195.63127,,,,,,,,89195.63127,89195.63127,,,,,
27789262.09,27789262.09,,,,,,,,,,,,,,27789262.09,27789262.09,,27789262.09,,
9506470.831,,,9506470.831,9506470.831,,,,,,,,,,,,,,,,
,,,,,,2495365.9,,,,,,,,,,,,,,2495365.9
,,,,,,6588262.54,,,,,,,,,,,,,6588262.54,
,,,46633136.68,,,,,,,,,,,,,,,,,
,,,15694725.23,,,,,,,,,,,,15694725.23,,,,,
,,,,,,10627453.62,,,,,,,,,,,,10627453.62,,
6432848.171,,,,6432848.171,,,,,,,,,,,,,,6432848.171,,
,,,,,,79129125.04,,,,,,,,,79129125.04,,,,,
,1071017.34,,,,,1071017.34,1071017.34,,,,,,,,,,,,,
22320461.06,,,,,,,,,,,22320461.06,,,,,22320461.06,,22320461.06,,
5513410.268,,,,5513410.268,,5513410.268,,,,,,,,,,,,5513410.268,,
42654043.66,42654043.66,,,42654043.66,,,,,,,,,,,,,,42654043.66,,
,,,,251269.4629,,251269.4629,,,,,,,,,,,,251269.4629,,
,,,2405811.955,,,2405811.955,,,,,,,,,,,,,,
,,,,,,7369337.187,,,,,,,,7369337.187,,,,7369337.187,,
,,,15393436.14,,,,,,,,,,,,15393436.14,,,,,
,,,22743859.68,,,,,,,,,,,,,,,,,
16583093.18,,,,16583093.18,,16583093.18,,,,,,,,,,,,16583093.18,,
,10039480.84,,,,,10039480.84,,,,,,,,,,,,,,
,,,,,,16589.87212,16589.87212,,,,,,,,,,,,,
,,,,,,18456709.14,,,,,18456709.14,,,,,18456709.14,,18456709.14,,
,,,,,,25844591.09,,,,,,,,,25844591.09,,,,,
,,,4990064.912,4990064.912,,,,,,,,,,,,,,,,
,,,,,,81225669.45,,,,,,,,81225669.45,,,,81225669.45,,
,,,,,,191228.6722,,,,,,,,,,,,,,
,,,1954386.357,,,1954386.357,,,,,,,,,1954386.357,,,,,
18136377.98,,,,18136377.98,,,,,,,,,,,,,,18136377.98,,
,116846822.8,,116846822.8,,,,116846822.8,116846822.8,,,,,,,,,,,,
,,,7549109.186,,,7549109.186,,,,,,,,,7549109.186,,,,,
,,,,,,36212191.4,,,,,,,36212191.4,,36212191.4,,,,,
,,,,,,6922845.607,,,,,,,,,,,,,,
,,,,632414.3728,,632414.3728,,,,,,,,,,,,632414.3728,,
19339436.44,,,19339436.44,,,,19339436.44,,,,,,,,,,,,,
48790381.58,48790381.58,,,,,,48790381.58,48790381.58,,,,,,,,,,,,
,52502309.24,,,,,52502309.24,,,,52502309.24,,,,,,,,,,
311464.4282,,,311464.4282,,,311464.4282,,,,,,,,,,,,,,
,,,5275167.819,5275167.819,,,,,,,,,,5275167.819,,,,,,
,,,18784778.03,,,18784778.03,,,,,,,,,18784778.03,,,,,
,,,47124843.85,,,,,,,,,,,,,,,,,
7588784.521,,,7588784.521,7588784.521,,,,,,,,,,,,,,7588784.521,,
,,,,,,3194967.31,,,,,,,,,,,,,,
67861975.3,,,67861975.3,,,,,,,,,,,,,67861975.3,,,,
62519325.18,,,,,,,,,,,,,,,,,,62519325.18,,
,,,9964486.489,,,9964486.489,,,,,,,,,9964486.489,,,,,
,,,22980777.54,,,,,,,,,,,,22980777.54,,,,,
59047531.42,,,,59047531.42,,,,,,,,,,,,,,,,
,,,4520996.98,,,4520996.98,,,,,,,,,4520996.98,,,,,
,,,,,,622316.2463,,,,,,,,622316.2463,622316.2463,,,,,
,,,13000829.74,,,13000829.74,13000829.74,,,,,,,,,,13000829.74,,,
34617727.63,,,,34617727.63,,34617727.63,,,,,,,,,,,,34617727.63,,
1107405.724,,,1107405.724,,,,,,,,,,,,,1107405.724,,1107405.724,,
,,,1235083.494,,,1235083.494,1235083.494,,,,,,,,,,1235083.494,,,
,,,20901409.9,,,,,20901409.9,,,,,,,20901409.9,,,,,
,,,,,,425618.1097,,,,,,425618.1097,,,,,,,,
,,,,,,,,,,,5223523.192,,,,,,,5223523.192,,
32085.46161,,,,,,32085.46161,,,,32085.46161,,,,,,,,,32085.46161,
,133219764,133219764,133219764,,,,133219764,,,,,,,,,,,,,133219764
,,,,,,483549.8124,,,,,,,,,,,,,,
,,,809442.0553,,,,,,,,,,,,809442.0553,,,,,
,,,19785709.12,,,,,,,,19785709.12,,,,,,,,,
,,,,69710.56614,,69710.56614,,,,,,,,,,,,69710.56614,,
,,,28483261.88,,,,,,,,,,,,28483261.88,28483261.88,,,,
,,,,,,18214905.06,,,,,,,,,,,,,,
119883905,119883905,,,,,,,,,,,,,,,,,119883905,,
,,,32531645.82,,,32531645.82,,,,,,,,,32531645.82,,,,,
18126290.76,,,,18126290.76,,,,,,,,,,,,,,18126290.76,,
,,,2307683.241,2307683.241,,2307683.241,,,,,,,,,2307683.241,,,,,
,6255816.413,,,6255816.413,,6255816.413,,,,,,,,6255816.413,,,,,,6255816.413
,,,38679587.56,,,38679587.56,,,,,,,,,38679587.56,38679587.56,,,,
,,,1803647.204,1803647.204,,,,,,,,,,,,,,1803647.204,,
,,,,1767782.645,,1767782.645,,,,,,,,,1767782.645,,,,,
,,,,,,14998.32723,,,,,,,,,,,,,,
,,,,,,163911.3504,,,,,,,,,,,,163911.3504,,
11173616.42,,,,11173616.42,,,,,,,,,,,,,,11173616.42,,
,,,,,,14761079.54,,,,,,,,,,,14761079.54,,,
26507724.67,26507724.67,,,26507724.67,,26507724.67,,,,,,,,,26507724.67,,,,,
77022824.45,77022824.45,,,,,,,,,,,,,,77022824.45,,,,,
8270369.152,,,,8270369.152,,8270369.152,,,,,,,,,,,,8270369.152,,
,,,8314846.684,8314846.684,,8314846.684,,,,,,,,8314846.684,8314846.684,,,,,
,,,16012816.28,,,,,,,,,,,,,,,,,
,,,,5872154.245,,5872154.245,,,,,,,5872154.245,,,,,,,
,,,,,,6549009.353,,,,,,,,,,,,,,
,,,60140751.61,,,,,60140751.61,,,,,,,60140751.61,,,,,
,,,4943472.008,,,4943472.008,,,,,,,,,4943472.008,,,,,
,44378404.32,,,,,44378404.32,,,,44378404.32,,,,,,,44378404.32,44378404.32,,
,,,,54082308.5,,54082308.5,,,,,,,,,54082308.5,,,54082308.5,,
,,,,,,152702.0831,,,,,,,,,,,,,,
,9485853.382,,9485853.382,,,,,,,,,,,,9485853.382,,,,,
,19146849.02,,19146849.02,,,,19146849.02,19146849.02,,,,,,,,,,,,
,,,,1336750.13,,1336750.13,,,,,,,,,,,,1336750.13,,
,,,15529479.94,,,15529479.94,,,,,,,,,,,,,,
,,,16461079.39,,,,,,,,,,,,,,,,,
,15760636.6,,15760636.6,,,15760636.6,,,,,,,,,,,,,,
,,,2304854.132,2304854.132,,,,,,,,,,,2304854.132,,,,,
185306573.4,185306573.4,,,,,,,,,,,,,,,,,185306573.4,,
31479536.2,,,,31479536.2,,,,,,,,,,,,,,31479536.2,,
,,,,,,1771077.795,,,,,,,,,1771077.795,,,,,
,,,6523.326035,,,,,,,,,,,,6523.326035,,,,,
,,,,,,5178034.362,,,,5178034.362,,,,,,,,,,
109973254.1,,,,,,,,,,,,,,,,,,109973254.1,,
,,,,,,9279815.003,,,,,,9279815.003,,,,,,,,
28088599.34,,,,,,28088599.34,,,,,,,,,,,28088599.34,,,
,,,,,,,,,,,16326379.52,,,16326379.52,,,,16326379.52,,
,,,,,,3717889.965,,,,,,,,,,,3717889.965,,,
,,,,,,22443600.19,,,,,,,,,,22443600.19,,,,
,,,,,,806475.0891,,,,,,,,,806475.0891,,806475.0891,,,
,,,21934.46705,,,21934.46705,,,,,,,,,,,,,,
,132804380.3,,132804380.3,,,,132804380.3,132804380.3,,,,,,,,,,,,
,,,,4074.754018,,,,,,,,,,4074.754018,,,,4074.754018,,
,20084210,,20084210,,,,20084210,,,,,,,,20084210,,,,,
,23783260.4,,23783260.4,,,,23783260.4,23783260.4,,,,23783260.4,,,,23783260.4,,,,
,,,,38583745.81,,38583745.81,,,,,,38583745.81,,,,,,,,
,,,13741912.56,,,13741912.56,,,,,,13741912.56,,,,,,,13741912.56,
,,,50845226.26,50845226.26,,50845226.26,,,,,,,,,,,,50845226.26,,
,,,,20167387.71,,,,,,,,,,,,,,20167387.71,,
,,,,11825691.33,,11825691.33,,,,,,,,,,,,11825691.33,,
,,,6756731.254,6756731.254,,,,,,,,,,,,,,6756731.254,,
13868252.71,,,,13868252.71,,,,,,,,,,,,,,13868252.71,,
,,,3086529.597,,,3086529.597,,,,,,3086529.597,,,,,,,,
,,,7600431.23,,,7600431.23,,,,,,,,,,,,,,
,,,6015820.077,,,,,,,,,,,,6015820.077,,,,,
,6869914.388,,6869914.388,,,,,,,,,,,,6869914.388,6869914.388,,,,
,,,,,,7326227.821,7326227.821,,,,,7326227.821,7326227.821,,,,,,,
,,,20234428.24,,,,20234428.24,,,,,,,,20234428.24,,,,,
,,,21964861.76,21964861.76,,,,,,,,,,,,,,,,
58009289.97,,,58009289.97,,,,,,,,,,,,58009289.97,,,,,
,,,,,,509655.527,,,,,,,,,,,509655.527,,,
,,,,,,1273592.093,,,,,,,,,1273592.093,,1273592.093,,,
241373419.7,241373419.7,,,,,,,,,,,,,,,241373419.7,,,,
,,,4102587.852,,,,,,,,,4102587.852,,,4102587.852,,,,,
,,,,,,1777248.506,,,,,,,,,,,,1777248.506,,
,,,,,,1016773.151,,,,,,,,,1016773.151,,,,,
27132866.96,,,,27132866.96,,,,,,,,,,,,,,27132866.96,,
,,,,62085114.52,,,,,,,,,,62085114.52,,,,62085114.52,,
,,,,,,9914995.828,,,,,,,,9914995.828,,,,9914995.828,,
,,,1056830.432,,,,,,,,,,,,,,,,,
,,,31115331.09,,,,,,,,,,,,,,31115331.09,,,
653550.1019,,,653550.1019,,,,,,,,,,,,,,,653550.1019,,
,,,19574101.14,,,,,,,,,19574101.14,,,,,,,,
,,,,16956200.05,,,,,,,,,,16956200.05,,,,16956200.05,,
,,,28069187.15,,,28069187.15,,,,,,,,,28069187.15,,28069187.15,,,
,,,,,,,,,,,53839126.41,,,53839126.41,,,,53839126.41,,
,,,,64930.79464,,64930.79464,,,,,,,,,,,,64930.79464,,
9910938.382,,,,9910938.382,,9910938.382,,,,,,,,9910938.382,,,,9910938.382,,
85578499.01,85578499.01,,,,,,,85578499.01,,,85578499.01,,,,,85578499.01,,,,
,,,,,,8571976.481,,,,,,,,,,,,8571976.481,,
,,,7509225.013,,,7509225.013,,,,,,,,,,,,,,
,57408900.95,57408900.95,57408900.95,,,,57408900.95,57408900.95,,,,,,,,,,,,
,,,,845470.384,,845470.384,,,,,,,,,,,,,,
29226880.94,,,29226880.94,,,,,,,,,,,,,29226880.94,,29226880.94,,
16764478,,,,16764478,,16764478,,,,,,,,,,,16764478,,,
4063590.114,,,4063590.114,4063590.114,,,,,,,,,,,,,,4063590.114,,
,,,,,,19271501.67,,,,,19271501.67,,,,,19271501.67,,,,
,,,,15146126.48,,15146126.48,,,,,,,,,,,,15146126.48,,
,,,,,,23702521.03,,,,,,,,23702521.03,,23702521.03,,23702521.03,,
,,,27193545.24,,,27193545.24,,,,,,,,,27193545.24,,,,,
,,,,,,34631901.82,,,,,,,,,,,,,,
,,,444840.3366,444840.3366,,,,,,,,,444840.3366,444840.3366,,,,,,
40741790.11,,,,,,,,,,,,,,,,40741790.11,,40741790.11,,
92977377.84,92977377.84,,,,,,,,,,,,,,92977377.84,92977377.84,,92977377.84,,
,33883035.78,,33883035.78,,,,33883035.78,33883035.78,,,,,,,,,,,,
,,,,,,6165469.135,,,,,,,,,,,,6165469.135,,
,,,34569612.82,,,34569612.82,,,,,,,,,34569612.82,,,,,
,,,,,,3556775.625,,,,,,,,,3556775.625,,,,,
,,,12617990.38,,,,,,,,,,,,,,,,,
,,,207191.6015,207191.6015,,,,,,,,,,,,,,,,
,,,1302859.675,,,,,,,,,1302859.675,,,1302859.675,,,,,
,,,9112278.177,,,,,,,,,,,,,,,,,
,,,,,,4296325.933,,,,,,,,,4296325.933,,,,,
,,,78167751.32,,,78167751.32,,,,78167751.32,,,,,,,,,,
,,,158340.8279,,,158340.8279,,,,,,,,,158340.8279,,,,,
,,,7225736.979,,,,,,,,,,,,7225736.979,,,,,
,,,24055673.56,,,24055673.56,,,,,,,,,24055673.56,,,24055673.56,,
,,,,2149299.696,,2149299.696,,,,,,,,,2149299.696,,,2149299.696,,
,,,,,,544899.2025,,,,,,,,,544899.2025,,,,,
51932727.06,,,,,,51932727.06,,,,,,,,,,,,51932727.06,,
,,,7240348.738,,,,,,,,,7240348.738,,,,,,,,
29675.34854,,,29675.34854,,,29675.34854,,,,,,,,,,,,29675.34854,,
27399370.21,,,,27399370.21,,,,,,,,,,27399370.21,,,,27399370.21,,
260654199.7,260654199.7,,,,,,,260654199.7,,,,,,,,,,,,
,,,,,,260656.3196,,,,,,,,,260656.3196,260656.3196,,260656.3196,,
,,,,,,,,,,,,,,6237113.531,,,,6237113.531,,
,,,,64522.06756,,64522.06756,,,,,,,,,,,,64522.06756,,
,,,,,,132114975.7,,,,,,,,,,,,,,
38378966.93,,,,38378966.93,,,,,,,,,,,,38378966.93,,38378966.93,,
80807474.57,,80807474.57,80807474.57,,,,,,,,,,,,,80807474.57,,,,
,,,9820308.492,,,,,,,,,,,,9820308.492,,,,,
,52198335.55,52198335.55,52198335.55,,,,52198335.55,52198335.55,,,,,,,,,,,,
,,,,,,,,,,,158430.7742,,158430.7742,,,158430.7742,,,,
,,,4633888.814,,,4633888.814,,,,,,,,,4633888.814,,,,,
20915033.34,,,20915033.34,20915033.34,,,,,,,,,,,,,,20915033.34,,
,,,22813267.33,,,,,,,,,,,,,,,,,
,,,,,,33215503.42,,,,,,,,33215503.42,,,,,,
,,,6507769.159,,,,,,,,,,6507769.159,,6507769.159,,,,,
,,,,4833248.784,,4833248.784,,,,,,,,,,,,,,
,,,9379810.668,,,,,,,,9379810.668,,,,,9379810.668,,,,
,,,1906076.409,,,1906076.409,,,,,,,,,1906076.409,,,,,
,,,359654.3363,,,359654.3363,,,,,359654.3363,,,,,359654.3363,,,,
36983309.2,36983309.2,,36983309.2,,,,,,,,,,,,,,,,,
23168078.21,23168078.21,,,,,,,,,,23168078.21,,,,,23168078.21,,23168078.21,,
,,,2670782.406,2670782.406,,,,,,,,,,,,,,,,
,,,,,,708233.4762,,,,,,,,,708233.4762,,,708233.4762,,
,,,,20076596.89,,,,,,,,,,20076596.89,,,,20076596.89,,
,,,,,,30292307.67,,,,30292307.67,,,,,30292307.67,,,,,
166.4342316,,,,166.4342316,,,,,,,,,,,,,,166.4342316,,
,207009343.9,207009343.9,207009343.9,,,,207009343.9,,,,,,,,,,207009343.9,,,
,,,1613528.301,1613528.301,,1613528.301,,,,,,,,,,,,,,
96713650.52,96713650.52,,,,,96713650.52,,,,,,,,,,,,96713650.52,,
16447125,,,,16447125,,,,,,,,,,,,,,16447125,,
,,,,,,,,,,,51413337.77,,,51413337.77,,51413337.77,,51413337.77,,
,,,,,,1002046.22,,,,,,,,,,,,,,
,,,,,,265106.8253,,,,,,,,,265106.8253,,,,,
,98996151.31,98996151.31,,,,,98996151.31,,,,,,,,,,,,,98996151.31
,,,,,,47328919.91,,,,,,,,,,,,,,
1552402.544,1552402.544,,,,,,,1552402.544,,,,,,,,1552402.544,,,,
78019122.78,,,,,,78019122.78,,,,,,,,,,,,,78019122.78,
,,,,,,9972974.801,,,,,,,,,,,,,,
,,,,,,90604.3935,,,,,,,,,,,,,,
,,,21843116.95,,,,,,,,,,,,21843116.95,,,,,
,,,,,,355948.8453,,,,,,,,355948.8453,,,,355948.8453,,
,,,27176630.67,,,,,,,,,,,,27176630.67,27176630.67,,,,
,,,835939.5433,,,835939.5433,,,,,,,,,835939.5433,,,,,
,,,,,,3485886.54,,,,,,,,3485886.54,3485886.54,,,3485886.54,,
,,,,14141.5586,,,,,,,,,,,,,,14141.5586,,
76011212.25,,,,,,,,76011212.25,,,76011212.25,,,,,76011212.25,,,,
,,,49438687.04,49438687.04,,,,,,,,,,,49438687.04,,,,,
,,,113938.3782,,,,,,,,,,,,113938.3782,,,,,
,,,11328282.49,,,11328282.49,,,,,,,,,11328282.49,,,,,
,,,,467366.2217,,467366.2217,,,,,,,,,,,,,,
,,,,,,1896885.69,,,,,,,,,1896885.69,,,,,
,,,,122753.2357,,,,,,,122753.2357,,,,,,,122753.2357,,
,,,,,,3093433.359,,,,,,,,,3093433.359,,,,,
,,,,,,20760418.42,,,,,,,,,,,,,,
,,,12338300.6,,,12338300.6,,,,,,,,,12338300.6,,,,,
,34423993.59,,,,,34423993.59,,,,,,,,34423993.59,,,,,,
79550069.26,79550069.26,,,,,,,79550069.26,,,,,,,,,,,,
130711.5097,,,130711.5097,130711.5097,,,,,,,,,,,,,,,,
,,,,,,13534502.58,,13534502.58,,,13534502.58,,,13534502.58,,,,,,
,2916606.354,,,,,2916606.354,,,,,,,,,,,,2916606.354,,
52836537.99,52836537.99,,,,,52836537.99,,,,52836537.99,,,,,,,,,52836537.99,
,,,,,,2219900.363,,,,,,,,2219900.363,,,,2219900.363,,
,,,,,,134606.2927,,,,,134606.2927,,,,,,,,,
,,,92055980.69,,,,,,,,,,,,,,,,,
,,,10691735.35,,,10691735.35,,,,,,,,,10691735.35,,,,,
,,,,,,17172566.77,,,,,,17172566.77,17172566.77,,,,,,,
,,,,2054579.206,,2054579.206,,,,,,,,,,,,,,
,31077152.6,,,,,,31077152.6,,,,,,,,,,,,,
,,,,4661622.26,,4661622.26,,,,,,,,4661622.26,,,,4661622.26,,
,,,,,,290298.5748,,,,,,,,,,,,,,
,,,52309976.53,,,52309976.53,,,,,,,,,,,,,,
,,,61678.00164,,,61678.00164,,,,,,,,,,,,,,
,,,12934536.43,12934536.43,,,,,,,,,,,,,,12934536.43,,
,,,,17716754.1,,17716754.1,,,,,,,,,,,,17716754.1,,
,,,6509453.111,,,,,,,,,,,,6509453.111,,,,,
,9748243.123,,9748243.123,,,,9748243.123,,,,,,,,,,,,,
,,,21112023.63,,,21112023.63,,,,,,,,,21112023.63,,,,,
,,,2520775.158,,,,,,,,,,,,,,,,,
,,,90807.71276,,,90807.71276,,,,,,,,,,,,,,
66376774.78,,,,66376774.78,,66376774.78,,,,,,,,66376774.78,,,,66376774.78,,
71116746.62,,,,,,,,,,,,,,71116746.62,,71116746.62,,71116746.62,,
,,,,,,106695132.5,,,,,106695132.5,,,,106695132.5,,,106695132.5,,
,,,8763070.871,8763070.871,,8763070.871,,,,,,,,,,,,,,
,,,74993.06222,74993.06222,,,,,,,,,,,74993.06222,,,,,
,,,,,,54410.63792,,,,,,,,,,,,,,
66020833.25,,,,,,,,66020833.25,,,66020833.25,,,,,,,,,
,,,,,,1256617.116,,,,,,,,,,,,,,
,,,37114084.17,,,37114084.17,,,,,,,,,,,,,,
57072797.47,,,,,,,,,,,57072797.47,,,,,57072797.47,,,,
,,,,12249683.09,,12249683.09,,,,,,,,,12249683.09,,,12249683.09,,
,46279596.37,,46279596.37,,,46279596.37,,,,,,,,,,,,,,
,,,,,,10760156.5,,,,10760156.5,,,,,,,,10760156.5,10760156.5,
,,,,,,16155760.62,,,,16155760.62,,,,,,,,,,
20840769.15,,,,20840769.15,,20840769.15,,,,,,,,,,,,20840769.15,,
,,,,,,8005324.795,,,,,,,,,,,,,,
10956691.41,,,,10956691.41,,,,,,,,,,,,,,10956691.41,,
,16985191.33,,16985191.33,,,,16985191.33,16985191.33,,,,,16985191.33,,,,,,,
127907715,127907715,,,,,,,,,,,,,,,127907715,,127907715,,
,,,23518005.26,,,,,,,,,,,,,,,,,
,,,6686167.264,,,,,,,,,,,,,,,,,
,34010095.39,34010095.39,34010095.39,,,,34010095.39,,,,,,,,,34010095.39,,,,
,,,,,,77499912.23,,,,77499912.23,,,77499912.23,,,,,,,
,,,51810.56691,51810.56691,,,,,,,,,,,,,,51810.56691,,
83210881.02,83210881.02,,,83210881.02,,,,,,,,,,,,,,83210881.02,,
,,,14927619.03,,,14927619.03,,14927619.03,,,,,,,14927619.03,,,,,
,,,3575068.539,,,3575068.539,,,,,,,,,,,,,,
,29832295.44,,29832295.44,,,,,,,,,,29832295.44,,29832295.44,,,,,
30344896.63,,,,,,,,,,,,,,30344896.63,,,,30344896.63,,
,24944857.94,,,,,24944857.94,,,,,,,,,,,,24944857.94,,
,,,76917.12332,76917.12332,,76917.12332,,,,,,,,,76917.12332,,,76917.12332,,
12795782.82,,,,12795782.82,,12795782.82,,,,,,,,,,,,12795782.82,,
,,,,38004355.5,,38004355.5,,,,,,,,38004355.5,,,,38004355.5,,
,,,63187848.37,,,,,,,,,,,,,,63187848.37,,,
,,,11977422.62,,,,,,,,,,,,11977422.62,,,,,
90064603.3,90064603.3,,,,,,,,,,,,,,,,,90064603.3,,
,,,,,,427130.726,,,,,,,,,,,,,,
,,,15996756.03,,,15996756.03,,,,,,,,,,,15996756.03,,,
,,,505355.7479,,,,,,,,,,,,,,,,,
,,,,,,75545.1251,,,,,,,,,75545.1251,,,,75545.1251,
,,,,,,,,,,,24887.87071,,,,,24887.87071,,24887.87071,,
,,,477788.8873,,,477788.8873,,,,,,,,,,,,,,
,,,,505829.393,,505829.393,,,,,,,,,,,,505829.393,,
,,,124737.8269,,,124737.8269,,,,,,,124737.8269,,,,,,,
,,,,,,7499957.496,,,,,,,,,7499957.496,,,,,
15452333.21,,,,15452333.21,,,,,,,,,,,,15452333.21,,15452333.21,,
,,,,,,3983845.67,,,,,,3983845.67,,,,,,,,
,,,,32408059.59,,32408059.59,,,,,,,,,,,,32408059.59,,
,,,,,,5330885.499,,,,,,,,,5330885.499,,5330885.499,,,
,,,6979282.008,,,6979282.008,,,,,,,,,6979282.008,,,,,
,,,,,,141830.0754,,,,,,,,,141830.0754,,,,,
,,,,,,3466405.834,,,,,,,,,,,3466405.834,,,
,,,,,,3136183.209,3136183.209,,,,,,,,,,,,,
,,,,,,3531741.06,,,,,,,,3531741.06,,3531741.06,,,,
,,,,,,1324920.671,,,,,,,,,1324920.671,,,,,
60297885.61,,,,,,,,,,,,,,,,60297885.61,,60297885.61,,
,,,,,,,,,,,1756896.622,,,,,,,1756896.622,,
,99003143.81,,,,,,99003143.81,99003143.81,,,,,,,,,,,,
,,,70281998.53,70281998.53,,,,,,,,,,,,,,,,
,1712816.901,,,,,,,1712816.901,,,,,,,,,,,,
,,,1221116.984,,,1221116.984,,,,1221116.984,,,,,,,,,,
,,,15582965.14,,,15582965.14,,,,,,,,,15582965.14,,,,,
,,,,1906928.011,,1906928.011,,,,,,,,,,,,,,
,,,,,,11336376.83,,,,,,11336376.83,,,,,,,,
,,,41229.91333,,,,,,,,,,,,,,,,,
,,,1023772.079,,,1023772.079,,,,,,,,,,,1023772.079,,,
,,,32340976.56,,,,32340976.56,32340976.56,,,,,,,,,,,,
,,,,2788168.182,,2788168.182,,,,,,,,,,,,,,
,,,,,,131350.5903,,,,,,,,,131350.5903,,,,,
,,,,,,,,,,,40670954.18,,,,,,,,,
,,,,,,,,,,,20393114.69,,,,,,,20393114.69,,
,,,,,,546929.9695,,,,,,,,,546929.9695,,,,,
,778139.6162,778139.6162,,,,,778139.6162,778139.6162,,,,,,,,,,,,
,,,14007815.78,,,14007815.78,,,,,,,,,,,,,,
,,,15124190.33,,,,,,,,,,,,15124190.33,,,,,
,,,,,,1995908.441,,,,,,,,,,,,,,
174684468.6,,,,,,,,,,,,,,,,174684468.6,,,,
,,,,,,,,,,,,,,20685.93182,20685.93182,,,20685.93182,,
,,,21841814.19,,,,,,,,,,,,21841814.19,,,,,
,,,,,,14822220.87,,,,,,,,,14822220.87,,,,,
,,,27232486.44,,,27232486.44,,,,,,,,,,,,,,
,,,,,,40979898.2,,40979898.2,,,40979898.2,,,,,,,,,
,,,,,,,,,,,13605.44649,,,,,,,13605.44649,,
,,,8149435.97,,,8149435.97,,,,,,,,,,,,,,
,,,,,,445718.5519,,,,,,,,,,,445718.5519,,,
,,,4589060.99,,,4589060.99,,,,,,,,,,,,,,
,,,,392231.253,,392231.253,,,,,,,,,,,,392231.253,,
2061804.758,,,,2061804.758,,2061804.758,,,,,,,,,,,,2061804.758,,
,,,,,,18528739.94,,,,,,,,,,,,18528739.94,,
,,,3387462.509,,,,,,,,,,,,3387462.509,,,,,
,,,,,,,,3505696.598,,,3505696.598,,,3505696.598,,,,3505696.598,,
,,,,,,20752.91037,,,,,,20752.91037,,,,,,,,
,,,9525664.945,,,,,,,,,,,,9525664.945,,,,,
,,,20372546.68,,,,,,,,,,,,20372546.68,,,,,
15140013.31,15140013.31,,,,,,,,,,,,,,,15140013.31,,15140013.31,,
,,,,,,19451.53844,,,,,,,,,,,,,,
,,,7140318.841,,,,,,,,,,,,,,,,,
,,,,,,,13406044.34,,,,,13406044.34,,,13406044.34,,,,,
23602258.58,,,23602258.58,23602258.58,,,,,,,,,,,,,,,,
,,,164598.1698,,,,,,,,164598.1698,,,,,,,164598.1698,,
,,,6329970.868,,,6329970.868,,,,,,,,,,,,,,
,,,1972457.762,,,1972457.762,,,,,,,,,,,,,,
,,,,,,,,,,,17163345.01,,,17163345.01,,,,17163345.01,,
,,,,,,2142115.88,,,,,,,,,,,2142115.88,,,
,,,,76350.24665,,,,,,,,,,,,,,76350.24665,76350.24665,
,,,,,,1774529.549,,,,,,,,,1774529.549,,,,,
,16629261.77,,,,,,16629261.77,,,,,,,,,,,,,
,,,,40858304.64,,,,,,,40858304.64,,,40858304.64,,,,40858304.64,,
,,,,,,,,,,,1348626.069,,,,,,,1348626.069,,
,,,63156336.42,,,,,,,,,,,,63156336.42,,,,,
,,,,,,1879988.745,,,,,,,,,,,,1879988.745,,
,,,,,4909090.816,,,,,,,,,,,,,,,
55981474.02,,,,,,,,55981474.02,,,,,,,,,,55981474.02,,
,,,7909699.667,,,,,7909699.667,,,,,,,,,,,,
,,,,,,31723169.66,,,,,31723169.66,,,,,,,31723169.66,,
,,,13727126.12,,,,,,,,,,,,13727126.12,,,,,
,,,11938614.05,,,11938614.05,,,,,,,,,11938614.05,,,,,
,,,,,,2521684.536,,,,,,,,,,,,,,2521684.536
,,,270924.5975,,,,,,,,,,,,,,,,,
