GrossAction,GrossAdventure,GrossAnimation,GrossComedy,GrossCrime,GrossDocumentary,GrossDrama,GrossFamily,GrossFantasy,GrossFilm-Noir,GrossHistory,GrossHorror,GrossMusic,GrossMusical,GrossMystery,GrossRomance,GrossSci-Fi,GrossSport,GrossThriller,GrossWar,GrossWestern
,,,14144378.59,14144378.59,,,,,,,,,,,,,,,,
18673295.84,18673295.84,18673295.84,18673295.84,18673295.84,,,18673295.84,18673295.84,,,,,,,,,,,,
,,,,7059156.475,,,,,,,,,,7059156.475,,,,7059156.475,,
,,64411908.82,64411908.82,,,,64411908.82,,,,,64411908.82,,,,,,,,64411908.82
,47711830.29,,47711830.29,,,,47711830.29,47711830.29,,,,,,,,,,,,
66786404.85,66786404.85,,,,,66786404.85,,,,,,,,,,,,,,
51758233.17,,,,51758233.17,,,,51758233.17,,,,,,,51758233.17,,,51758233.17,,
25639188.89,25639188.89,,,,,25639188.89,,,,25639188.89,,,,,,,,25639188.89,,
,,69192735.91,69192735.91,,,,69192735.91,,,,,,69192735.91,,,,,,,
85484982.98,85484982.98,,85484982.98,,,,,,,,,,,,,,,85484982.98,,
47731250.52,47731250.52,,,,,,,,,47731250.52,,,,,,,,,,
82891899.12,,,,,,,,,,,,,,,,82891899.12,,,82891899.12,
,,,,,,,,,,,,,,,,17679625.9,,17679625.9,,
32482776.97,32482776.97,,,32482776.97,,,,,,,,,,,,,,32482776.97,,
19328393.77,,,,19328393.77,,,,,,,,,,,,19328393.77,,19328393.77,,
,,,,60629432.15,,60629432.15,,,,,,60629432.15,,,,,,,,
29573603.26,,,,29573603.26,,29573603.26,,,,,,,,,,,,29573603.26,,
,87531229.97,87531229.97,87531229.97,,,,87531229.97,87531229.97,,,,,,,,,,,,
24679690.18,,,,,,,,,,,,,,,,24679690.18,,24679690.18,,
124183385.5,124183385.5,,,,,124183385.5,,,,124183385.5,,,,,,,,,124183385.5,
101767100.1,101767100.1,,,,,,,,,,,,,,,,,101767100.1,,
