BudgetAction,BudgetAdventure,BudgetAnimation,Budget Comedy,BudgetCrime,BudgetDocumentary,BudgetDrama,BudgetFamily,BudgetFantasy,BudgetFilm-Noir,BudgetHistory,BudgetHorror,BudgetMusic,BudgetMusical,BudgetMystery,BudgetRomance,BudgetSci-Fi,BudgetSport,BudgetThriller,BudgetWar,BudgetWestern
96134387.35,96134387.35,96134387.35,96134387.35,96134387.35,,,96134387.35,96134387.35,,,,,,,,,,,,
,,,,84451388.89,,,,,,,,,,84451388.89,,,,84451388.89,,
,,141631551.1,141631551.1,,,,141631551.1,,,,,141631551.1,,,,,,,,141631551.1
,124922681.8,,124922681.8,,,,124922681.8,124922681.8,,,,,,,,,,,,
143832052,143832052,,,,,143832052,,,,,,,,,,,,,,
128755955.5,,,,128755955.5,,,,128755955.5,,,,,,,128755955.5,,,128755955.5,,
102615813,102615813,,,,,102615813,,,,102615813,,,,,,,,102615813,,
,,145970925.6,145970925.6,,,,145970925.6,,,,,,145970925.6,,,,,,,
161897593.4,161897593.4,,161897593.4,,,,,,,,,,,,,,,161897593.4,,
124091836.7,124091836.7,,,,,,,,,124091836.7,,,,,,,,,,
159115887.9,,,,,,,,,,,,,,,,159115887.9,,,159115887.9,
,,,,,,,,,,,,,,,,93843927.85,,93843927.85,,
108346851,108346851,,,108346851,,,,,,,,,,,,,,108346851,,
94648654.66,,,,94648654.66,,,,,,,,,,,,94648654.66,,94648654.66,,
,,,,135772473.5,,135772473.5,,,,,,135772473.5,,,,,,,,
104450306.7,,,,104450306.7,,104450306.7,,,,,,,,,,,,104450306.7,,
,162254836.6,162254836.6,162254836.6,,,,162254836.6,162254836.6,,,,,,,,,,,,
98869918.7,,,,,,,,,,,,,,,,98869918.7,,98869918.7,,
198320287,198320287,,,,,198320287,,,,198320287,,,,,,,,,198320287,
175785171.3,175785171.3,,,,,,,,,,,,,,,,,175785171.3,,
105932055.7,105932055.7,105932055.7,,,,,105932055.7,,,,,,,,,105932055.7,,,,
124012747,124012747,,,,,124012747,,,,,,,,,,,,124012747,,
135725446.4,135725446.4,,,,,,,,,,,,,,,135725446.4,,,,
,120804635.8,,,,,120804635.8,,,,120804635.8,,,,,,,,,120804635.8,
111538108.8,,,,,,111538108.8,,,,,,,,,,,,111538108.8,111538108.8,
,,,,,,,,,,,91807781.65,,,,,91807781.65,,91807781.65,,
,,,89528834.36,,,89528834.36,,,,,,,,,,,,,,
,107344483.2,107344483.2,107344483.2,,,,107344483.2,107344483.2,,,,,,,,,,,,
,,226736273,,,,226736273,226736273,226736273,,,,,,,,,,,,
158905004.6,158905004.6,,,,,,,158905004.6,,,,,,,,,,,,
94648654.66,,,,,,,,,,,,,,,,94648654.66,94648654.66,,,
,,,,,,90694509.18,,,,,,,90694509.18,,90694509.18,,,,,
102193277.3,102193277.3,102193277.3,102193277.3,,,102193277.3,102193277.3,,,,,,,,,102193277.3,,,,
,,,,,,108580357.1,,,,108580357.1,,,,,,,,,108580357.1,
116538060.9,116538060.9,,,,,116538060.9,,116538060.9,,,,,,,,,,,,
,,,,,,134293251.5,,134293251.5,,,,,,,134293251.5,,,,,
,,,,,,146948277.8,,,,,,,,,,,146948277.8,,,
115819047.6,,,,,,,,,,,,,,115819047.6,,115819047.6,,115819047.6,,
159054510.2,159054510.2,,,,,,,,,,,,,,,159054510.2,,,,
,289999082.8,289999082.8,289999082.8,,,,289999082.8,289999082.8,,,,,289999082.8,,289999082.8,,,,,
156713917.5,,,,,,156713917.5,,,,156713917.5,,,,,,,,,156713917.5,
264427049.4,,,,,,,,,,,,,,,,264427049.4,,,,
123138975.6,123138975.6,,,,,,,,,,,,,,,123138975.6,,,,
130323489.1,,,,130323489.1,,130323489.1,,,,,,,,,,,,130323489.1,,
70382945.89,70382945.89,,,,,,,70382945.89,,,,,,,,,,70382945.89,,
68192523.36,,,,,,,,,,,,,,,,,,68192523.36,,
73390894.65,73390894.65,,73390894.65,,,,73390894.65,,,,,,,,,73390894.65,,,,
71831069.11,,,,71831069.11,,71831069.11,,,,,,,,71831069.11,,,,71831069.11,,
136385046.7,,,,,,136385046.7,,,,,,,,,,136385046.7,,136385046.7,,
,,,64377977.77,64377977.77,,64377977.77,,,,,,,,,64377977.77,,,,,
92354231.71,92354231.71,,,,,,,92354231.71,,,,,,,,,,,,
,73082932.69,73082932.69,,,,,73082932.69,73082932.69,,,,,73082932.69,,,,,,,
,,,,,,72857488.85,,,,,72857488.85,,,,72857488.85,,,72857488.85,,
,,,,,,112994192.8,,,,112994192.8,,,,,,,,112994192.8,,
,,,,79796587.93,,79796587.93,,,,,,,,,,,,79796587.93,,
,,,71395303.33,71395303.33,,,,,,,,,,,71395303.33,,,,,
167206783.1,167206783.1,,,,,,,,,,,,,,,167206783.1,,,,
,,,,,,79796587.93,,,,,,,,,79796587.93,,,,,
,,,74366800.09,74366800.09,,74366800.09,,,,,,,,,,,,74366800.09,,
,134180603.9,134180603.9,134180603.9,,,,134180603.9,,,,,,,,134180603.9,,,,,
64759037.38,64759037.38,,,,,,,,,,64759037.38,,,,,64759037.38,,64759037.38,,
109592217.1,109592217.1,,109592217.1,,,,,109592217.1,,,,,,,,,,109592217.1,,
,103393117.4,,,103393117.4,,103393117.4,,,,,,,,,,,,,,103393117.4
145970925.6,145970925.6,,,,,,145970925.6,,,,,,,145970925.6,,,,,,
,,,70621370.5,,,,,,,,,,,,,70621370.5,,,,
,,,,,,61642308.02,,61642308.02,,,,,,61642308.02,61642308.02,,,,,
,,,145990396.2,,,145990396.2,,,,,,,,,,145990396.2,,,,
135193753.3,135193753.3,,,,,,,,,,,,,,,135193753.3,,135193753.3,,
114930509.2,,,,,,114930509.2,,,,,,,,,,,,114930509.2,,
,,,,,,98881084.13,,,,,,,,,98881084.13,,,,,
,,,77253573.32,,,77253573.32,,,,,,,,,77253573.32,,,,,
,,,,62268305.17,,62268305.17,,,,,,,,,,,,,,
,,,,75769470.4,,75769470.4,,,,,,,,,,,,75769470.4,,
99160143.51,,,99160143.51,99160143.51,,,,,,,,,,,,,,99160143.51,,
81094958.66,81094958.66,,,,,,,,,,,,,,81094958.66,,,,,
134293251.5,134293251.5,,,,,,134293251.5,134293251.5,,,,,,,,,,134293251.5,,
,,,,,,80508362.37,,,,,,,,,80508362.37,,,,,80508362.37
82189744.02,82189744.02,,,,,82189744.02,,,,82189744.02,,,,,82189744.02,,,,,
,,,,,,79796587.93,,,,79796587.93,,,,,,,,,,
,108126611.5,108126611.5,108126611.5,,,,108126611.5,108126611.5,,,,,,,,,,,,
,,,,70227141.48,,70227141.48,,,,,,,,,,,,,,
,,,,,,64517700.4,,,,,,,,,64517700.4,,64517700.4,,,
,,,,60322420.63,,60322420.63,,60322420.63,,,,,,,,,,,,
,,,,,,66354662.7,,,,,,,,,,,,66354662.7,,
82400903.44,,,,,,82400903.44,,,,,,,,,,,,82400903.44,,
,113368136.5,,113368136.5,,,,,,,,,,,,,113368136.5,,,,
,,,112994192.8,,,,,112994192.8,,,,,,,,,,,,
,,,,,,74039573.82,,,,74039573.82,,,,,,,,,74039573.82,
,,,,,,99273469.39,,,,,,,,,,,,99273469.39,,
,,,,,,111911042.9,,,,,,,,111911042.9,,111911042.9,,111911042.9,,
182407399.7,182407399.7,,,,,182407399.7,,,,,,,,,182407399.7,,,,,
72386904.76,72386904.76,,,,,72386904.76,,,,72386904.76,,,,,72386904.76,,,,72386904.76,
85258763.54,,,,,,85258763.54,,,,,,,,,,,85258763.54,85258763.54,,
,172884068.6,,,,,,172884068.6,172884068.6,,,,,,,,,,,,
,,,64377977.77,64377977.77,,,,,,,,,,,,,,,,
,,,,,,80294717.89,,,,,,,,,,,,80294717.89,,
,,,,,,81127418.28,,,,,,,,,,,,,81127418.28,
187474271.9,187474271.9,,,,,,,,,,,,,,,187474271.9,,187474271.9,,
,,,,,,87594237.7,,,,,,,,,87594237.7,,,,,
,,,,,,78280858.27,,,,,,78280858.27,,,,,,,,
,82058029.69,,82058029.69,82058029.69,,82058029.69,82058029.69,,,,,,,,,,,,,
,67780771.02,,67780771.02,,,,67780771.02,,,,,,,,67780771.02,67780771.02,,,,
,140945655.9,140945655.9,140945655.9,,,,140945655.9,,,,,,,,,,140945655.9,,,
98881084.13,,,,,,98881084.13,,,,,,,,,,,98881084.13,,,
136805549.8,136805549.8,,136805549.8,,,,,,,,,,,,,136805549.8,,,,
94648654.66,94648654.66,,94648654.66,,,,,,,,,,,,,,,94648654.66,,
,225322922.2,,,,,,,,,,,,,,,,,,,
61569487.81,,,61569487.81,,,,,,,,,,,61569487.81,61569487.81,,,,,
79077566.19,79077566.19,,,,,,,,,,,,,,,79077566.19,,79077566.19,,
,62132373.43,,,,,,62132373.43,62132373.43,,,,,,,,62132373.43,,,,
,,,59033980.58,,,,,,,,,,59033980.58,,,,,,,
,,,,,,53130582.52,,,,,,,,,,,53130582.52,,,
,,,109867871.3,109867871.3,,109867871.3,,,,,,,,,109867871.3,,,,,
66779167.02,,,,66779167.02,,,,,,,,,,,,,,66779167.02,,
,,,,,,60674982.18,,,,,,,,,,,,,,
71916026.02,71916026.02,,,,,,,71916026.02,,,,,,,,,,,,
,76815803.07,,,,,76815803.07,76815803.07,,,,,,,,,,,,,
,,,,,,109492797.1,,,,109492797.1,,,,,109492797.1,,,,,
108523359.6,,,108523359.6,108523359.6,,108523359.6,,,,,,,,,,,,108523359.6,,
92463462.03,92463462.03,,,,,,,,,,,,,,,,,92463462.03,,
94893757.5,,,94893757.5,,,,,94893757.5,,,,,,,,94893757.5,,,,
73689288.71,,73689288.71,73689288.71,,,,73689288.71,,,,,,,,,73689288.71,,,,
,120644841.3,,,,,120644841.3,,,,,,,,,,,,120644841.3,,
,,,,58911418.69,,58911418.69,,,,,,,,,,,,,,
52187238.85,52187238.85,,,,,52187238.85,,,,,,,,,,,,52187238.85,,52187238.85
,,,,81127418.28,,81127418.28,,,,,,,,81127418.28,,,,81127418.28,,
,,,,,,,,,,,90923364.49,,,,,90923364.49,,90923364.49,,
67146625.77,67146625.77,,,,,,,,,,67146625.77,,,,,67146625.77,,,,
114844608.5,,,,,,,,,,,,,,,,114844608.5,,,,
,,,77683507.55,,,77683507.55,,,,,,,,,,,,,,
,,,,,,51096638.66,,,,,,,,,51096638.66,,,,51096638.66,51096638.66
,,,,51307906.51,,51307906.51,,,,,,,,,,,,51307906.51,,
108511153.6,,,108511153.6,,,,,,,,,,,,,108511153.6,,,,
,135613077.6,135613077.6,135613077.6,,,,135613077.6,,,,,,,,,,,,,
,,,52202094.78,,,,,,,,,,,,,,,,,
94648654.66,94648654.66,,94648654.66,,,,,,,,,,,,,,,94648654.66,,
53038629.28,,,,,,53038629.28,,,,,,,,,,53038629.28,,53038629.28,,
62268305.17,,,,62268305.17,,62268305.17,,,,,,,,,,,,62268305.17,,
,,,,,,62089612.68,,,,62089612.68,,,,,,,,,,
112381496,112381496,,112381496,,,,,,,,,,,,,,,112381496,,
164801806.9,164801806.9,164801806.9,,,,,164801806.9,164801806.9,,,,,,,,164801806.9,,,,
88663821.46,,,,,,,,88663821.46,,,,,,,,,,,,
,,,,,,91690079.37,,,,,,,,,,91690079.37,,91690079.37,,
