BudgetAction,BudgetAdventure,BudgetAnimation,Budget Comedy,BudgetCrime,BudgetDocumentary,BudgetDrama,BudgetFamily,BudgetFantasy,BudgetFilm-Noir,BudgetHistory,BudgetHorror,BudgetMusic,BudgetMusical,BudgetMystery,BudgetRomance,BudgetSci-Fi,BudgetSport,BudgetThriller,BudgetWar,BudgetWestern
,,,16225483.66,16225483.66,,,,,,,,,,,,,,,,
180092338.5,180092338.5,,,,,180092338.5,,180092338.5,,,,,,,,,,,,
,,,15815513.24,,,15815513.24,,,,,,,,,15815513.24,,,,,
37077834.4,,,,37077834.4,,,,,,,,,,,,,,37077834.4,,
,,,,,,,,,,,30609396.85,,,30609396.85,,,,30609396.85,,
,,,16730716.32,16730716.32,,16730716.32,,,,,,,,,,,,,,
,,,45064584.44,,,,45064584.44,45064584.44,,,,,,,45064584.44,,,,,
,,,25950386.77,,,,,,,,,,,,25950386.77,,,,,
,,,,39038338.07,,39038338.07,,,,,,,,,39038338.07,,,39038338.07,,
,,,27042472.76,,,,,,,,,,,,,,,,,
,,,,,,18768785.57,,,,,,,,,,,,,,
,,,,,,27277009.35,,,,,,,,,,,,,,
,,,25751191.11,25751191.11,,,,,,,,25751191.11,,,,,,,,
,,,21898559.42,21898559.42,,21898559.42,,,,,,,,,,,,,,
,,,,35191472.94,,35191472.94,,,,,,,,35191472.94,,,,35191472.94,,
208900613.5,,,,208900613.5,,,,,,,,,,,,,,208900613.5,,
,,,,82988451.44,,82988451.44,,,,,,,,,,,,,,
103126549.2,103126549.2,,,,,,,103126549.2,,,,,,,,103126549.2,,,,
,24128968.25,24128968.25,24128968.25,,,,24128968.25,24128968.25,,,,,,,,,,,,
,22593590.34,,22593590.34,,,,,,,,,,,,,,,,,
,,,15153894.08,,,,,,,,,,,,,,,,,
,141242741,141242741,141242741,,,,141242741,141242741,,,,,,,,,,,,
,,,21633978.21,,,,,,,,,,,,21633978.21,,,,,
,,,,,,15137725.62,,,,,,,,,,,,,,
48022531.94,48022531.94,,,48022531.94,,48022531.94,48022531.94,48022531.94,,,,,,,48022531.94,,,48022531.94,,
,,,,27884527.19,,27884527.19,,,,27884527.19,,,,,,,,,,
,,,,56497096.4,,56497096.4,,,,,56497096.4,,,,,,,56497096.4,,
,,,,,,71816929.13,71816929.13,71816929.13,,,,,,,,,,,,
,,,,,,19226877.47,,,,,19226877.47,,,19226877.47,,,,19226877.47,,
,,,33803090.95,33803090.95,,,,,,,,,,,,,,,,
21410211.27,,,,,,21410211.27,,,,,,,,,,,,21410211.27,,
,,,33476548.44,,,,,,,,,,,,33476548.44,,,,,
,,,,,,21187333.94,,,,,,,,,,,21187333.94,,,
,,,14946106.58,,,,,,,,,,,,,,,,,
,,,,,,16218991.73,,,,,,,,,,,,16218991.73,,
173002578.5,173002578.5,,,,,,,,,,,,,,,173002578.5,,,,
,,,,,,21898559.42,,,,,,,,,,,,,21898559.42,
20547436.01,,,,20547436.01,,20547436.01,,,,,,,,,,,,20547436.01,,
,,,,,,16704670.33,,,,,,,,,16704670.33,,,,,
,19643318.65,,,,,19643318.65,,,,,,,,,19643318.65,,,,,
62642513.74,,,,62642513.74,,62642513.74,,,,,,,,,,,,62642513.74,,
,,,,,,,,17518847.54,,,17518847.54,,,,,,,17518847.54,,
,,,21186411.15,,,21186411.15,,,,,,21186411.15,,,,,,,,
,18240739.97,,,,,18240739.97,,,,,,,,,,18240739.97,,18240739.97,,
,,,14921472.39,,,,,,,,,,,,,,,,,
,,,,16945192.75,,16945192.75,,,,,,,,16945192.75,,,,16945192.75,,
71916026.02,,,,,,71916026.02,,71916026.02,,,71916026.02,,,,,,,,71916026.02,
,70621370.5,,,,,70621370.5,,,,,,,,,,,,70621370.5,,
42374667.89,,,42374667.89,42374667.89,,,,,,,,,,,42374667.89,,,42374667.89,,
,,,,,,14737857.74,,14737857.74,,,,,,,,,,,,
,,,,,,49076767.86,,49076767.86,,,,,,,49076767.86,,,,,
,,,30213664.6,,,,,,,,,,,,30213664.6,,,,,
,,,,15683829.37,,15683829.37,,,,,,,,,,,,,,
,,,67796515.68,,,,,67796515.68,,,,,,,67796515.68,,,,,
,,,30307788.16,,,,,,,,,,,,,,,,,
,,,22922519.84,,,,,,,,,22922519.84,,,,,,,,
,,,15683829.37,15683829.37,,15683829.37,,,,,,,,,,,,,,
,,,,14499954.14,,14499954.14,,,,,,,,,,,,14499954.14,,
198320287,,,,,,,,,,,,,,,,198320287,,,,
,,,,,,26680111.38,,,,26680111.38,,,,,,,,,,
,,,,,,18792754.12,,,,,,,,,18792754.12,,,,18792754.12,
,,,35310685.25,,,35310685.25,,,,,,,,,35310685.25,,,,,
177340527.5,177340527.5,,177340527.5,,,,,,,,,,,,,177340527.5,,,,
,,,32485830.43,32485830.43,,,,,,,,,,,,,,,,
26680111.38,,,,,,,,,,,,,,26680111.38,,26680111.38,,26680111.38,,
109867871.3,,,,109867871.3,,,,,,,,,,,,,,109867871.3,,
,,,,,,16730716.32,,,,,,,,,16730716.32,16730716.32,,,,
,,,25751191.11,,,,25751191.11,,,,,,,,,25751191.11,,,,
,,,,14094565.59,,14094565.59,,,,,,,,14094565.59,14094565.59,,,,,
41761675.82,41761675.82,,,,,,,,,,,,,,41761675.82,41761675.82,,41761675.82,,
23460981.96,,,23460981.96,23460981.96,,,,,,,,,,,,,,,,
,,,,,,16437948.8,,,,,,,,,,,,,,16437948.8
,,,,,,20523162.6,,,,,,,,,,,,,20523162.6,
,,,60554429.95,,,,,,,,,,,,,,,,,
,,,29613869.77,,,,,,,,,,,,29613869.77,,,,,
,,,,,,24538383.93,,,,,,,,,,,,24538383.93,,
20334231.31,,,,20334231.31,,,,,,,,,,,,,,20334231.31,,
,,,,,,93009560.23,,,,,,,,,93009560.23,,,,,
,14944393.24,,,,,14944393.24,14944393.24,,,,,,,,,,,,,
36193452.38,,,,,,,,,,,36193452.38,,,,,36193452.38,,36193452.38,,
19356609,,,,19356609,,19356609,,,,,,,,,,,,19356609,,
56497096.4,56497096.4,,,56497096.4,,,,,,,,,,,,,,56497096.4,,
,,,,14076589.18,,14076589.18,,,,,,,,,,,,14076589.18,,
,,,16225483.66,,,16225483.66,,,,,,,,,,,,,,
,,,,,,21186411.15,,,,,,,,21186411.15,,,,21186411.15,,
,,,29198079.23,,,,,,,,,,,,29198079.23,,,,,
,,,36541466.35,,,,,,,,,,,,,,,,,
30357856.09,,,,30357856.09,,30357856.09,,,,,,,,,,,,30357856.09,,
,23807308.66,,,,,23807308.66,,,,,,,,,,,,,,
,,,,,,13753511.9,13753511.9,,,,,,,,,,,,,
,,,,,,32188988.88,,,,,32188988.88,,,,,32188988.88,,32188988.88,,
,,,,,,39538783.09,,,,,,,,,39538783.09,,,,,
,,,18680491.55,18680491.55,,,,,,,,,,,,,,,,
,,,,,,94893757.5,,,,,,,,94893757.5,,,,94893757.5,,
,,,,,,13853134.76,,,,,,,,,,,,,,
,,,15615335.23,,,15615335.23,,,,,,,,,15615335.23,,,,,
31781000.91,,,,31781000.91,,,,,,,,,,,,,,31781000.91,,
,130476218.6,,130476218.6,,,,130476218.6,130476218.6,,,,,,,,,,,,
,,,21171223.76,,,21171223.76,,,,,,,,,21171223.76,,,,,
,,,,,,49814644.14,,,,,,,49814644.14,,49814644.14,,,,,
,,,,,,20438655.46,,,,,,,,,,,,,,
,,,,14124274.1,,14124274.1,,,,,,,,,,,,14124274.1,,
32823211.88,,,32823211.88,,,,32823211.88,,,,,,,,,,,,,
62268305.17,62268305.17,,,,,,62268305.17,62268305.17,,,,,,,,,,,,
,65933132.53,,,,,65933132.53,,,,65933132.53,,,,,,,,,,
13733483.91,,,13733483.91,,,13733483.91,,,,,,,,,,,,,,
,,,18680491.55,18680491.55,,,,,,,,,,18680491.55,,,,,,
,,,32188988.88,,,32188988.88,,,,,,,,,32188988.88,,,,,
,,,60456214.15,,,,,,,,,,,,,,,,,
20880837.91,,,20880837.91,20880837.91,,,,,,,,,,,,,,20880837.91,,
,,,,,,16480180.69,,,,,,,,,,,,,,
81127418.28,,,81127418.28,,,,,,,,,,,,,81127418.28,,,,
75769470.4,,,,,,,,,,,,,,,,,,75769470.4,,
,,,23176072,,,23176072,,,,,,,,,23176072,,,,,
,,,36051667.55,,,,,,,,,,,,36051667.55,,,,,
72103335.1,,,,72103335.1,,,,,,,,,,,,,,,,
,,,17555249.34,,,17555249.34,,,,,,,,,17555249.34,,,,,
,,,,,,13604176.38,,,,,,,,13604176.38,13604176.38,,,,,
,,,25982628.89,,,25982628.89,25982628.89,,,,,,,,,,25982628.89,,,
47596868.88,,,,47596868.88,,47596868.88,,,,,,,,,,,,47596868.88,,
14056459.5,,,14056459.5,,,,,,,,,,,,,14056459.5,,14056459.5,,
,,,14171017.06,,,14171017.06,14171017.06,,,,,,,,,,14171017.06,,,
,,,33780555.56,,,,,33780555.56,,,,,,,33780555.56,,,,,
,,,,,,13270932.54,,,,,,13270932.54,,,,,,,,
,,,,,,,,,,,18009233.85,,,,,,,18009233.85,,
12788785.47,,,,,,12788785.47,,,,12788785.47,,,,,,,,,12788785.47,
,145970925.6,145970925.6,145970925.6,,,,145970925.6,,,,,,,,,,,,,145970925.6
,,,,,,13221352.47,,,,,,,,,,,,,,
,,,13521236.38,,,,,,,,,,,,13521236.38,,,,,
,,,32437983.46,,,,,,,,32437983.46,,,,,,,,,
,,,,12712400.37,,12712400.37,,,,,,,,,,,,12712400.37,,
,,,41119188.5,,,,,,,,,,,,41119188.5,41119188.5,,,,
,,,,,,30784743.9,,,,,,,,,,,,,,
132420837.1,132420837.1,,,,,,,,,,,,,,,,,132420837.1,,
,,,45064584.44,,,45064584.44,,,,,,,,,45064584.44,,,,,
30609396.85,,,,30609396.85,,,,,,,,,,,,,,30609396.85,,
,,,14737857.74,14737857.74,,14737857.74,,,,,,,,,14737857.74,,,,,
,18680491.55,,,18680491.55,,18680491.55,,,,,,,,18680491.55,,,,,,18680491.55
,,,51096638.66,,,51096638.66,,,,,,,,,51096638.66,51096638.66,,,,
,,,14124274.1,14124274.1,,,,,,,,,,,,,,14124274.1,,
,,,,14076589.18,,14076589.18,,,,,,,,,14076589.18,,,,,
,,,,,,12313897.56,,,,,,,,,,,,,,
,,,,,,12453661.03,,,,,,,,,,,,12453661.03,,
23460981.96,,,,23460981.96,,,,,,,,,,,,,,23460981.96,,
,,,,,,27031652.89,,,,,,,,,,,27031652.89,,,
38753983.43,38753983.43,,,38753983.43,,38753983.43,,,,,,,,,38753983.43,,,,,
89267645.4,89267645.4,,,,,,,,,,,,,,89267645.4,,,,,
20509623.02,,,,20509623.02,,20509623.02,,,,,,,,,,,,20509623.02,,
,,,20547436.01,20547436.01,,20547436.01,,,,,,,,20547436.01,20547436.01,,,,,
,,,28241987.92,,,,,,,,,,,,,,,,,
,,,,18079070.85,,18079070.85,,,,,,,18079070.85,,,,,,,
,,,,,,18747427.19,,,,,,,,,,,,,,
,,,72231234,,,,,72231234,,,,,,,72231234,,,,,
,,,17005220.47,,,17005220.47,,,,,,,,,17005220.47,,,,,
,56438697.16,,,,,56438697.16,,,,56438697.16,,,,,,,56438697.16,56438697.16,,
,,,,66106762.34,,66106762.34,,,,,,,,,66106762.34,,,66106762.34,,
,,,,,,12169112.74,,,,,,,,,,,,,,
,21463910.82,,21463910.82,,,,,,,,,,,,21463910.82,,,,,
,31073403.02,,31073403.02,,,,31073403.02,31073403.02,,,,,,,,,,,,
,,,,13221352.47,,13221352.47,,,,,,,,,,,,13221352.47,,
,,,27398054.28,,,27398054.28,,,,,,,,,,,,,,
,,,28326310.22,,,,,,,,,,,,,,,,,
,27604723.93,,27604723.93,,,27604723.93,,,,,,,,,,,,,,
,,,14124274.1,14124274.1,,,,,,,,,,,14124274.1,,,,,
197087034.8,197087034.8,,,,,,,,,,,,,,,,,197087034.8,,
43250644.62,,,,43250644.62,,,,,,,,,,,,,,43250644.62,,
,,,,,,13521236.38,,,,,,,,,13521236.38,,,,,
,,,11730490.98,,,,,,,,,,,,11730490.98,,,,,
,,,,,,16890277.78,,,,16890277.78,,,,,,,,,,
121604933.1,,,,,,,,,,,,,,,,,,121604933.1,,
,,,,,,20880837.91,,,,,,20880837.91,,,,,,,,
39673592.03,,,,,,39673592.03,,,,,,,,,,,39673592.03,,,
,,,,,,,,,,,27884527.19,,,27884527.19,,,,27884527.19,,
,,,,,,15249638.28,,,,,,,,,,,15249638.28,,,
,,,,,,33906133.83,,,,,,,,,,33906133.83,,,,
,,,,,,12123115.26,,,,,,,,,12123115.26,,12123115.26,,,
,,,11336813.65,,,11336813.65,,,,,,,,,,,,,,
,144112741.9,,144112741.9,,,,144112741.9,144112741.9,,,,,,,,,,,,
,,,,11296795.17,,,,,,,,,,11296795.17,,,,11296795.17,,
,31367658.73,,31367658.73,,,,31367658.73,,,,,,,,31367658.73,,,,,
,35037695.08,,35037695.08,,,,35037695.08,35037695.08,,,,35037695.08,,,,35037695.08,,,,
,,,,49814644.14,,49814644.14,,,,,,49814644.14,,,,,,,,
,,,24907322.07,,,24907322.07,,,,,,24907322.07,,,,,,,24907322.07,
,,,62006373.49,62006373.49,,62006373.49,,,,,,,,,,,,62006373.49,,
,,,,31321256.87,,,,,,,,,,,,,,31321256.87,,
,,,,22968921.7,,22968921.7,,,,,,,,,,,,22968921.7,,
,,,17853529.08,17853529.08,,,,,,,,,,,,,,17853529.08,,
24940990.03,,,,24940990.03,,,,,,,,,,,,,,24940990.03,,
,,,14124274.1,,,14124274.1,,,,,,14124274.1,,,,,,,,
,,,18601912.05,,,18601912.05,,,,,,,,,,,,,,
,,,17005220.47,,,,,,,,,,,,17005220.47,,,,,
,17853529.08,,17853529.08,,,,,,,,,,,,17853529.08,17853529.08,,,,
,,,,,,18270733.17,18270733.17,,,,,18270733.17,18270733.17,,,,,,,
,,,31134152.59,,,,31134152.59,,,,,,,,31134152.59,,,,,
,,,32823211.88,32823211.88,,,,,,,,,,,,,,,,
68858835.32,,,68858835.32,,,,,,,,,,,,68858835.32,,,,,
,,,,,,11336813.65,,,,,,,,,,,11336813.65,,,
,,,,,,12064484.13,,,,,,,,,12064484.13,,12064484.13,,,
252147718.3,252147718.3,,,,,,,,,,,,,,,252147718.3,,,,
,,,14873360.02,,,,,,,,,14873360.02,,,14873360.02,,,,,
,,,,,,12528502.75,,,,,,,,,,,,12528502.75,,
,,,,,,11730490.98,,,,,,,,,11730490.98,,,,,
37844314.04,,,,37844314.04,,,,,,,,,,,,,,37844314.04,,
,,,,72787464.71,,,,,,,,,,72787464.71,,,,72787464.71,,
,,,,,,20600225.86,,,,,,,,20600225.86,,,,20600225.86,,
,,,11730490.98,,,,,,,,,,,,,,,,,
,,,41761675.82,,,,,,,,,,,,,,41761675.82,,,
11296795.17,,,11296795.17,,,,,,,,,,,,,,,11296795.17,,
,,,30213664.6,,,,,,,,,30213664.6,,,,,,,,
,,,,27543534.13,,,,,,,,,,27543534.13,,,,27543534.13,,
,,,38626786.66,,,38626786.66,,,,,,,,,38626786.66,,38626786.66,,,
,,,,,,,,,,,64377977.77,,,64377977.77,,,,64377977.77,,
,,,,10596120.33,,10596120.33,,,,,,,,,,,,10596120.33,,
20406264.57,,,,20406264.57,,20406264.57,,,,,,,,20406264.57,,,,20406264.57,,
96022758.94,96022758.94,,,,,,,96022758.94,,,96022758.94,,,,,96022758.94,,,,
,,,,,,18978751.5,,,,,,,,,,,,18978751.5,,
,,,17905766.87,,,17905766.87,,,,,,,,,,,,,,
,67780771.02,67780771.02,67780771.02,,,,67780771.02,67780771.02,,,,,,,,,,,,
,,,,11171522.31,,11171522.31,,,,,,,,,,,,,,
39538783.09,,,39538783.09,,,,,,,,,,,,,39538783.09,,39538783.09,,
27042472.76,,,,27042472.76,,27042472.76,,,,,,,,,,,27042472.76,,,
14286049.93,,,14286049.93,14286049.93,,,,,,,,,,,,,,14286049.93,,
,,,,,,29475715.48,,,,,29475715.48,,,,,29475715.48,,,,
,,,,25334361.07,,25334361.07,,,,,,,,,,,,25334361.07,,
,,,,,,33890385.51,,,,,,,,33890385.51,,33890385.51,,33890385.51,,
,,,37360983.1,,,37360983.1,,,,,,,,,37360983.1,,,,,
,,,,,,44764417.18,,,,,,,,,,,,,,
,,,10577081.97,10577081.97,,,,,,,,,10577081.97,10577081.97,,,,,,
50835578.26,,,,,,,,,,,,,,,,50835578.26,,50835578.26,,
103046479.8,103046479.8,,,,,,,,,,,,,,103046479.8,103046479.8,,103046479.8,,
,43946292.83,,43946292.83,,,,43946292.83,43946292.83,,,,,,,,,,,,
,,,,,,16218991.73,,,,,,,,,,,,16218991.73,,
,,,44615243.51,,,44615243.51,,,,,,,,,44615243.51,,,,,
,,,,,,13556154.2,,,,,,,,,13556154.2,,,,,
,,,22593590.34,,,,,,,,,,,,,,,,,
,,,10175195.68,10175195.68,,,,,,,,,,,,,,,,
,,,11208294.93,,,,,,,,,11208294.93,,,11208294.93,,,,,
,,,18978751.5,,,,,,,,,,,,,,,,,
,,,,,,14124274.1,,,,,,,,,14124274.1,,,,,
,,,87978682.36,,,87978682.36,,,,87978682.36,,,,,,,,,,
,,,9962928.827,,,9962928.827,,,,,,,,,9962928.827,,,,,
,,,17005220.47,,,,,,,,,,,,17005220.47,,,,,
,,,33803090.95,,,33803090.95,,,,,,,,,33803090.95,,,33803090.95,,
,,,,11893927.27,,11893927.27,,,,,,,,,11893927.27,,,11893927.27,,
,,,,,,10261581.3,,,,,,,,,10261581.3,,,,,
61642308.02,,,,,,61642308.02,,,,,,,,,,,,61642308.02,,
,,,16945192.75,,,,,,,,,16945192.75,,,,,,,,
9731395.039,,,9731395.039,,,9731395.039,,,,,,,,,,,,9731395.039,,
37077834.4,,,,37077834.4,,,,,,,,,,37077834.4,,,,37077834.4,,
270316528.9,270316528.9,,,,,,,270316528.9,,,,,,,,,,,,
,,,,,,9916014.351,,,,,,,,,9916014.351,9916014.351,,9916014.351,,
,,,,,,,,,,,,,,15865622.96,,,,15865622.96,,
,,,,9651587.302,,9651587.302,,,,,,,,,,,,9651587.302,,
,,,,,,141631551.1,,,,,,,,,,,,,,
47877952.76,,,,47877952.76,,,,,,,,,,,,47877952.76,,47877952.76,,
90301915.45,,90301915.45,90301915.45,,,,,,,,,,,,,90301915.45,,,,
,,,19272583.2,,,,,,,,,,,,19272583.2,,,,,
,61642308.02,61642308.02,61642308.02,,,,61642308.02,61642308.02,,,,,,,,,,,,
,,,,,,,,,,,9602275.894,,9602275.894,,,9602275.894,,,,
,,,14076589.18,,,14076589.18,,,,,,,,,14076589.18,,,,,
30307788.16,,,30307788.16,30307788.16,,,,,,,,,,,,,,30307788.16,,
,,,32188988.88,,,,,,,,,,,,,,,,,
,,,,,,42573800.11,,,,,,,,42573800.11,,,,,,
,,,15865622.96,,,,,,,,,,15865622.96,,15865622.96,,,,,
,,,,14163155.11,,14163155.11,,,,,,,,,,,,,,
,,,18699950.4,,,,,,,,18699950.4,,,,,18699950.4,,,,
,,,11208294.93,,,11208294.93,,,,,,,,,11208294.93,,,,,
,,,9651587.302,,,9651587.302,,,,,9651587.302,,,,,9651587.302,,,,
46274733.64,46274733.64,,46274733.64,,,,,,,,,,,,,,,,,
32437983.46,32437983.46,,,,,,,,,,32437983.46,,,,,32437983.46,,32437983.46,,
,,,11937177.91,11937177.91,,,,,,,,,,,,,,,,
,,,,,,9962928.827,,,,,,,,,9962928.827,,,9962928.827,,
,,,,29326227.45,,,,,,,,,,29326227.45,,,,29326227.45,,
,,,,,,39538783.09,,,,39538783.09,,,,,39538783.09,,,,,
9246346.203,,,,9246346.203,,,,,,,,,,,,,,9246346.203,,
,216253223.1,216253223.1,216253223.1,,,,216253223.1,,,,,,,,,,216253223.1,,,
,,,10851115.36,10851115.36,,10851115.36,,,,,,,,,,,,,,
105932055.7,105932055.7,,,,,105932055.7,,,,,,,,,,,,105932055.7,,
25653953.25,,,,25653953.25,,,,,,,,,,,,,,25653953.25,,
,,,,,,,,,,,60615576.32,,,60615576.32,,60615576.32,,60615576.32,,
,,,,,,10203132.28,,,,,,,,,,,,,,
,,,,,,9464865.466,,,,,,,,,9464865.466,,,,,
,108169891,108169891,,,,,108169891,,,,,,,,,,,,,108169891
,,,,,,56497096.4,,,,,,,,,,,,,,
10714537.44,10714537.44,,,,,,,10714537.44,,,,,,,,10714537.44,,,,
87175627.24,,,,,,87175627.24,,,,,,,,,,,,,87175627.24,
,,,,,,19067770.03,,,,,,,,,,,,,,
,,,,,,9180778.165,,,,,,,,,,,,,,
,,,30901429.33,,,,,,,,,,,,30901429.33,,,,,
,,,,,,9384392.785,,,,,,,,9384392.785,,,,9384392.785,,
,,,36193452.38,,,,,,,,,,,,36193452.38,36193452.38,,,,
,,,9838392.217,,,9838392.217,,,,,,,,,9838392.217,,,,,
,,,,,,12470495.01,,,,,,,,12470495.01,12470495.01,,,12470495.01,,
,,,,8990519.678,,,,,,,,,,,,,,8990519.678,,
84978930.65,,,,,,,,84978930.65,,,84978930.65,,,,,84978930.65,,,,
,,,58396158.46,58396158.46,,,,,,,,,,,58396158.46,,,,,
,,,9069450.918,,,,,,,,,,,,9069450.918,,,,,
,,,20281854.57,,,20281854.57,,,,,,,,,20281854.57,,,,,
,,,,9384392.785,,9384392.785,,,,,,,,,,,,,,
,,,,,,10812661.15,,,,,,,,,10812661.15,,,,,
,,,,9037436.136,,,,,,,9037436.136,,,,,,,9037436.136,,
,,,,,,11955514.59,,,,,,,,,11955514.59,,,,,
,,,,,,29613869.77,,,,,,,,,,,,,,
,,,21186411.15,,,21186411.15,,,,,,,,,21186411.15,,,,,
,43250644.62,,,,,43250644.62,,,,,,,,43250644.62,,,,,,
88359082.22,88359082.22,,,,,,,88359082.22,,,,,,,,,,,,
8923048.702,,,8923048.702,8923048.702,,,,,,,,,,,,,,,,
,,,,,,22307621.76,,22307621.76,,,22307621.76,,,22307621.76,,,,,,
,11679231.69,,,,,11679231.69,,,,,,,,,,,,11679231.69,,
61443268.44,61443268.44,,,,,61443268.44,,,,61443268.44,,,,,,,,,61443268.44,
,,,,,,10816989.1,,,,,,,,10816989.1,,,,10816989.1,,
,,,,,,8722344.106,,,,,8722344.106,,,,,,,,,
,,,100639836.2,,,,,,,,,,,,,,,,,
,,,19272583.2,,,19272583.2,,,,,,,,,19272583.2,,,,,
,,,,,,25751191.11,,,,,,25751191.11,25751191.11,,,,,,,
,,,,10593666.97,,10593666.97,,,,,,,,,,,,,,
,39575567.88,,,,,,39575567.88,,,,,,,,,,,,,
,,,,13139135.65,,13139135.65,,,,,,,,13139135.65,,,,13139135.65,,
,,,,,,8717562.724,,,,,,,,,,,,,,
,,,60734378.63,,,60734378.63,,,,,,,,,,,,,,
,,,8468489.503,,,8468489.503,,,,,,,,,,,,,,
,,,21335087.72,21335087.72,,,,,,,,,,,,,,21335087.72,,
,,,,26101047.39,,26101047.39,,,,,,,,,,,,26101047.39,,
,,,14873360.02,,,,,,,,,,,,14873360.02,,,,,
,18096726.19,,18096726.19,,,,18096726.19,,,,,,,,,,,,,
,,,29421774.19,,,29421774.19,,,,,,,,,29421774.19,,,,,
,,,10812661.15,,,,,,,,,,,,,,,,,
,,,8369137.11,,,8369137.11,,,,,,,,,,,,,,
74607361.96,,,,74607361.96,,74607361.96,,,,,,,,74607361.96,,,,74607361.96,,
79328114.81,,,,,,,,,,,,,,79328114.81,,79328114.81,,79328114.81,,
,,,,,,114881241.6,,,,,114881241.6,,,,114881241.6,,,114881241.6,,
,,,16945192.75,16945192.75,,16945192.75,,,,,,,,,,,,,,
,,,8240090.344,8240090.344,,,,,,,,,,,8240090.344,,,,,
,,,,,,8218974.402,,,,,,,,,,,,,,
74155668.8,,,,,,,,74155668.8,,,74155668.8,,,,,,,,,
,,,,,,9384392.785,,,,,,,,,,,,,,
,,,45187180.68,,,45187180.68,,,,,,,,,,,,,,
65131599.08,,,,,,,,,,,65131599.08,,,,,65131599.08,,,,
,,,,20281854.57,,20281854.57,,,,,,,,,20281854.57,,,20281854.57,,
,54290178.57,,54290178.57,,,54290178.57,,,,,,,,,,,,,,
,,,,,,18768785.57,,,,18768785.57,,,,,,,,18768785.57,18768785.57,
,,,,,,24128968.25,,,,24128968.25,,,,,,,,,,
28766410.41,,,,28766410.41,,28766410.41,,,,,,,,,,,,28766410.41,,
,,,,,,15890500.46,,,,,,,,,,,,,,
18792754.12,,,,18792754.12,,,,,,,,,,,,,,18792754.12,,
,24818367.35,,24818367.35,,,,24818367.35,24818367.35,,,,,24818367.35,,,,,,,
135725446.4,135725446.4,,,,,,,,,,,,,,,135725446.4,,135725446.4,,
,,,31321256.87,,,,,,,,,,,,,,,,,
,,,14477380.95,,,,,,,,,,,,,,,,,
,41798142.13,41798142.13,41798142.13,,,,41798142.13,,,,,,,,,41798142.13,,,,
,,,,,,85258763.54,,,,85258763.54,,,85258763.54,,,,,,,
,,,7807667.614,7807667.614,,,,,,,,,,,,,,7807667.614,,
90923364.49,90923364.49,,,90923364.49,,,,,,,,,,,,,,90923364.49,,
,,,22593590.34,,,22593590.34,,22593590.34,,,,,,,22593590.34,,,,,
,,,11153810.88,,,11153810.88,,,,,,,,,,,,,,
,37340829.88,,37340829.88,,,,,,,,,,37340829.88,,37340829.88,,,,,
37844314.04,,,,,,,,,,,,,,37844314.04,,,,37844314.04,,
,32437983.46,,,,,32437983.46,,,,,,,,,,,,32437983.46,,
,,,7553416.149,7553416.149,,7553416.149,,,,,,,,,7553416.149,,,7553416.149,,
20267488.85,,,,20267488.85,,20267488.85,,,,,,,,,,,,20267488.85,,
,,,,45461682.24,,45461682.24,,,,,,,,45461682.24,,,,45461682.24,,
,,,70621370.5,,,,,,,,,,,,,,70621370.5,,,
,,,19397914.11,,,,,,,,,,,,19397914.11,,,,,
97461736.14,97461736.14,,,,,,,,,,,,,,,,,97461736.14,,
,,,,,,7807667.614,,,,,,,,,,,,,,
,,,23307612.18,,,23307612.18,,,,,,,,,,,23307612.18,,,
,,,7807667.614,,,,,,,,,,,,,,,,,
,,,,,,7368928.871,,,,,,,,,7368928.871,,,,7368928.871,
,,,,,,,,,,,7308293.269,,,,,7308293.269,,7308293.269,,
,,,7725357.332,,,7725357.332,,,,,,,,,,,,,,
,,,,7750796.686,,7750796.686,,,,,,,,,,,,7750796.686,,
,,,7368928.871,,,7368928.871,,,,,,,7368928.871,,,,,,,
,,,,,,14737857.74,,,,,,,,,14737857.74,,,,,
22673627.3,,,,22673627.3,,,,,,,,,,,,22673627.3,,22673627.3,,
,,,,,,11153810.88,,,,,,11153810.88,,,,,,,,
,,,,39538783.09,,39538783.09,,,,,,,,,,,,39538783.09,,
,,,,,,12453661.03,,,,,,,,,12453661.03,,12453661.03,,,
,,,14076589.18,,,14076589.18,,,,,,,,,14076589.18,,,,,
,,,,,,7238690.476,,,,,,,,,7238690.476,,,,,
,,,,,,10557441.88,,,,,,,,,,,10557441.88,,,
,,,,,,10219327.73,10219327.73,,,,,,,,,,,,,
,,,,,,10593666.97,,,,,,,,10593666.97,,10593666.97,,,,
,,,,,,8369137.11,,,,,,,,,8369137.11,,,,,
67294071.15,,,,,,,,,,,,,,,,67294071.15,,67294071.15,,
,,,,,,,,,,,8717213.315,,,,,,,8717213.315,,
,105961203.3,,,,,,105961203.3,105961203.3,,,,,,,,,,,,
,,,77212698.41,77212698.41,,,,,,,,,,,,,,,,
,8564084.507,,,,,,,8564084.507,,,,,,,,,,,,
,,,8030743.832,,,8030743.832,,,,8030743.832,,,,,,,,,,
,,,22382208.59,,,22382208.59,,,,,,,,,22382208.59,,,,,
,,,,8667854.597,,8667854.597,,,,,,,,,,,,,,
,,,,,,18096726.19,,,,,,18096726.19,,,,,,,,
,,,6778077.102,,,,,,,,,,,,,,,,,
