,BudgetAction,BudgetAdventure,BudgetAnimation,Budget Comedy,BudgetCrime,BudgetDocumentary,BudgetDrama,BudgetFamily,BudgetFantasy,BudgetFilm-Noir,BudgetHistory,BudgetHorror,BudgetMusic,BudgetMusical,BudgetMystery,BudgetRomance,BudgetSci-Fi,BudgetSport,BudgetThriller,BudgetWar,BudgetWestern
count,910.0,755.0,189.0,1455.0,679.0,61.0,1792.0,439.0,495.0,1.0,128.0,379.0,156.0,98.0,368.0,831.0,480.0,148.0,1071.0,129.0,53.0
mean,84321523.2922144,97728336.256553,97958265.61888677,43200535.6712165,42705475.44741189,7871739.761552374,38938070.97051537,79709510.75292175,79958031.48795617,25085470.85,64013907.623792194,28322343.696832374,32040113.086851284,52499972.5708801,46722136.15458576,41945895.77371686,82142842.96424295,40523173.958873644,53570952.19153415,66715689.83149611,63532052.68060263
std,64754987.894383565,68849474.34230222,57956930.45373761,41884229.43402256,35680440.55204386,29099757.794576082,43137709.90701,58983157.46331683,64686974.57478154,,68255651.4204585,30498124.37334833,33324045.316822115,45704975.932669796,42373803.38656398,47936884.37064888,64673891.31171214,36879857.1230666,49783555.03582656,65765501.46722603,52239995.73938824
min,513685.9001,153923.7195,378847.352,9731.395039,58186.60287,288.2254838,9012.916887000001,63270.69625,132213.5247,25085470.85,225935.9034,17595.73647,211148.8377,63270.69625,89528.83436000001,17005.22047,9012.916887000001,120644.8413,8717.562724,1031265.4920000001,35191.47294
25%,37266413.724999994,42666125.43000001,47877952.76,13572544.64,16222237.695,529683.3486,10918297.87,32437983.46,29877277.645000003,25085470.85,21977492.9425,6667699.227,10722846.565,18435482.61,16945192.75,14109419.844999999,31886221.439999998,15213936.785,18138901.84,23115865.51,29086975.43
50%,67450126.525,82630602.38,90483630.95,30501346.96,33898257.84,1621899.1730000002,26087859.39,62268305.17,62132373.43,25085470.85,42255476.39,18503634.83,22540194.21,47908394.195,34682311.84,29326227.45,65413638.675,30959448.244999997,39851715.31,50668722.14,48067193.68
75%,118818324.30000001,141437146.05,141631551.1,61330963.11,60738724.370000005,4056370.914,54290178.57,117880194.44999999,117307577.15,25085470.85,85737979.465,37474528.09,36280455.8725,72837397.145,64473242.6725,54182252.255,121231152.6,54416566.9625,73852226.72,87570499.42,89528834.36
max,669228652.7,569362545.0,289999082.8,289999082.8,242462305.3,219735742.5,669228652.7,289999082.8,351914729.4,25085470.85,569362545.0,198367960.2,193031746.0,289999082.8,283420341.2,669228652.7,279354998.0,216253223.1,669228652.7,569362545.0,248183673.5
