,GrossAction,GrossAdventure,GrossAnimation,GrossComedy,GrossCrime,GrossDocumentary,GrossDrama,GrossFamily,GrossFantasy,GrossFilm-Noir,GrossHistory,GrossHorror,GrossMusic,GrossMusical,GrossMystery,GrossRomance,GrossSci-Fi,GrossSport,GrossThriller,GrossWar,GrossWestern
count,910.0,755.0,189.0,1455.0,679.0,61.0,1792.0,439.0,495.0,1.0,128.0,379.0,156.0,98.0,368.0,831.0,480.0,148.0,1071.0,129.0,53.0
mean,108725108.17493685,139481353.60005185,165947899.86881208,69961197.3404659,58279131.13038954,16762514.820118772,59805460.422826454,137569413.80525407,130119764.19534239,86457.62062999999,89310071.41633251,53312044.49741107,67098052.80676315,159044783.89482307,63440889.67270615,71937500.62099336,116441586.59763227,62108435.50136741,69451690.13975774,105546803.94612195,90945360.95072453
std,133076252.64262275,154953706.23794335,277781400.68760496,89961284.84440485,83263451.86876296,32047902.337519012,126037952.67027432,215081263.36729258,220042534.081676,,311139269.55426025,75597965.23969918,126268243.46707246,382836256.8980903,73027686.08495305,158098660.47147807,160891791.83214152,72499870.8899359,87847383.41795641,318190624.2425065,131370069.75345747
min,166.43423159999998,4271.175395,4271.175395,965.4639187000001,166.43423159999998,1340.364187,869.8493056,4271.175395,2580.6172739999997,86457.62062999999,32085.461610000002,1411.076441,20752.910369999998,2580.6172739999997,3411.1089369999995,3139.96289,2580.6172739999997,6694.0221280000005,166.43423159999998,18542.63261,114838.4463
25%,27137542.3725,36443456.795,51523331.73,11320850.675,9886733.504500002,160376.4649,6357630.857999999,37593622.825,28194114.605,86457.62062999999,12810018.4025,18114975.975,9257125.834999999,10555225.954750001,16307774.7925,9505759.1635,24620216.8125,10239314.728,16908701.25,8943545.082,6317798.442000001
50%,66975600.45,88605881.84,111132653.7,39515454.11,33575307.31,1677677.2240000002,28993726.895,84757371.98,67925726.23,86457.62062999999,39868124.33,38569514.47,37135772.980000004,52335774.815,40093141.205,36212191.4,67362874.275,39741709.705,42723227.72,47552399.49,55531769.37
75%,146725321.525,195910633.9,203323072.4,91795818.02,75463829.275,14780219.84,69491079.11,166099659.45,161779817.6,86457.62062999999,83813641.05250001,65675852.760000005,76878889.3625,138323088.92499998,84096767.7475,81474110.595,152180210.675,87006799.365,91690218.425,110437116.7,109184513.8
max,1849979743.0,1849979743.0,3123442810.0,874277297.3,874277297.3,153320522.7,3476038613.0,3123442810.0,3123442810.0,86457.62062999999,3476038613.0,1120592327.0,1327286286.0,3123442810.0,428484258.1,3476038613.0,1849979743.0,501124020.7,1175412639.0,3476038613.0,678026448.4
