Action,Adventure,386,,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Romance,Sci-Fi,Sport,Thriller,War,Western
Action,Animation,34,Action,0,386,34,211,260,235,73,150,24,65,8,2,76,278,17,484,44,20
Action,Comedy,211,Adventure,386,0,138,273,40,166,247,231,22,30,12,26,81,224,9,194,27,18
Action,Crime,260,Animation,34,138,0,146,4,23,282,246,20,30,8,37,85,211,9,179,27,18
Action,Drama,235,Comedy,211,273,146,0,213,481,308,215,5,51,71,55,465,121,58,104,14,9
Action,Family,73,Crime,260,40,4,213,0,376,15,14,10,18,13,6,77,22,4,425,5,12
Action,Fantasy,150,Drama,235,166,23,481,376,0,96,112,121,62,97,47,523,97,99,506,113,34
Action,History,24,Family,73,247,282,308,15,96,0,192,2,4,23,47,71,67,24,9,2,3
Action,Horror,65,Fantasy,150,231,246,215,14,112,192,0,0,85,13,28,89,69,4,83,5,2
Action,Music,8,History,24,22,20,5,10,121,2,0,0,1,6,3,26,0,6,20,40,5
Action,Musical,2,Horror,65,30,30,51,18,62,4,85,1,0,1,5,11,84,0,201,1,0
Action,Romance,76,Music,8,12,8,71,13,97,23,13,6,1,0,14,47,4,0,5,2,1
Action,Sci-Fi,278,Musical,2,26,37,55,6,47,47,28,3,5,14,0,39,3,0,2,2,1
Action,Sport,17,Romance,76,81,85,465,77,523,71,89,26,11,47,39,0,34,27,87,27,12
Action,Thriller,484,Sci-Fi,278,224,211,121,22,97,67,69,0,84,4,3,34,0,4,206,1,2
Action,War,44,Sport,17,9,9,58,4,99,24,4,6,0,0,0,27,4,0,3,1,0
Action,Western,20,Thriller,484,194,179,104,425,506,9,83,20,201,5,2,87,206,3,0,24,9
Adventure,Animation,138,War,44,27,27,14,5,113,2,5,40,1,2,2,27,1,1,24,0,5
Adventure,Comedy,273,Western,20,18,18,9,12,34,3,2,5,0,1,1,12,2,0,9,5,0
Adventure,Crime,40,,,,,,,,,,,,,,,,,,,
Adventure,Drama,166,,,,,,,,,,,,,,,,,,,
Adventure,Family,247,,,,,,,,,,,,,,,,,,,
Adventure,Fantasy,231,,,,,,,,,,,,,,,,,,,
Adventure,History,22,,,,,,,,,,,,,,,,,,,
Adventure,Horror,30,,,,,,,,,,,,,,,,,,,
Adventure,Music,12,,,,,,,,,,,,,,,,,,,
Adventure,Musical,26,,,,,,,,,,,,,,,,,,,
Adventure,Romance,81,,,,,,,,,,,,,,,,,,,
Adventure,Sci-Fi,224,,,,,,,,,,,,,,,,,,,
Adventure,Sport,9,,,,,,,,,,,,,,,,,,,
Adventure,Thriller,194,,,,,,,,,,,,,,,,,,,
Adventure,War,27,,,,,,,,,,,,,,,,,,,
Adventure,Western,18,,,,,,,,,,,,,,,,,,,
Animation,Comedy,146,,,,,,,,,,,,,,,,,,,
Animation,Crime,4,,,,,,,,,,,,,,,,,,,
Animation,Drama,23,,,,,,,,,,,,,,,,,,,
Animation,Family,282,,,,,,,,,,,,,,,,,,,
Animation,Fantasy,246,,,,,,,,,,,,,,,,,,,
Animation,History,20,,,,,,,,,,,,,,,,,,,
Animation,Horror,30,,,,,,,,,,,,,,,,,,,
Animation,Music,8,,,,,,,,,,,,,,,,,,,
Animation,Musical,37,,,,,,,,,,,,,,,,,,,
Animation,Romance,85,,,,,,,,,,,,,,,,,,,
Animation,Sci-Fi,211,,,,,,,,,,,,,,,,,,,
Animation,Sport,9,,,,,,,,,,,,,,,,,,,
Animation,Thriller,179,,,,,,,,,,,,,,,,,,,
Animation,War,27,,,,,,,,,,,,,,,,,,,
Animation,Western,18,,,,,,,,,,,,,,,,,,,
Comedy,Crime,213,,,,,,,,,,,,,,,,,,,
Comedy,Drama,481,,,,,,,,,,,,,,,,,,,
Comedy,Family,308,,,,,,,,,,,,,,,,,,,
Comedy,Fantasy,215,,,,,,,,,,,,,,,,,,,
Comedy,History,5,,,,,,,,,,,,,,,,,,,
Comedy,Horror,51,,,,,,,,,,,,,,,,,,,
Comedy,Music,71,,,,,,,,,,,,,,,,,,,
Comedy,Musical,55,,,,,,,,,,,,,,,,,,,
Comedy,Romance,465,,,,,,,,,,,,,,,,,,,
Comedy,Sci-Fi,121,,,,,,,,,,,,,,,,,,,
Comedy,Sport,58,,,,,,,,,,,,,,,,,,,
Comedy,Thriller,104,,,,,,,,,,,,,,,,,,,
Comedy,War,14,,,,,,,,,,,,,,,,,,,
Comedy,Western,9,,,,,,,,,,,,,,,,,,,
Crime,Drama,376,,,,,,,,,,,,,,,,,,,
Crime,Family,15,,,,,,,,,,,,,,,,,,,
Crime,Fantasy,14,,,,,,,,,,,,,,,,,,,
Crime,History,10,,,,,,,,,,,,,,,,,,,
Crime,Horror,18,,,,,,,,,,,,,,,,,,,
Crime,Music,13,,,,,,,,,,,,,,,,,,,
Crime,Musical,6,,,,,,,,,,,,,,,,,,,
Crime,Romance,77,,,,,,,,,,,,,,,,,,,
Crime,Sci-Fi,22,,,,,,,,,,,,,,,,,,,
Crime,Sport,4,,,,,,,,,,,,,,,,,,,
Crime,Thriller,425,,,,,,,,,,,,,,,,,,,
Crime,War,5,,,,,,,,,,,,,,,,,,,
Crime,Western,12,,,,,,,,,,,,,,,,,,,
Drama,Family,96,,,,,,,,,,,,,,,,,,,
Drama,Fantasy,112,,,,,,,,,,,,,,,,,,,
Drama,History,121,,,,,,,,,,,,,,,,,,,
Drama,Horror,62,,,,,,,,,,,,,,,,,,,
Drama,Music,97,,,,,,,,,,,,,,,,,,,
Drama,Musical,47,,,,,,,,,,,,,,,,,,,
Drama,Romance,523,,,,,,,,,,,,,,,,,,,
Drama,Sci-Fi,97,,,,,,,,,,,,,,,,,,,
Drama,Sport,99,,,,,,,,,,,,,,,,,,,
Drama,Thriller,506,,,,,,,,,,,,,,,,,,,
Drama,War,113,,,,,,,,,,,,,,,,,,,
Drama,Western,34,,,,,,,,,,,,,,,,,,,
Family,Fantasy,192,,,,,,,,,,,,,,,,,,,
Family,History,2,,,,,,,,,,,,,,,,,,,
Family,Horror,4,,,,,,,,,,,,,,,,,,,
Family,Music,23,,,,,,,,,,,,,,,,,,,
Family,Musical,47,,,,,,,,,,,,,,,,,,,
Family,Romance,71,,,,,,,,,,,,,,,,,,,
Family,Sci-Fi,67,,,,,,,,,,,,,,,,,,,
Family,Sport,24,,,,,,,,,,,,,,,,,,,
Family,Thriller,9,,,,,,,,,,,,,,,,,,,
Family,War,2,,,,,,,,,,,,,,,,,,,
Family,Western,3,,,,,,,,,,,,,,,,,,,
Fantasy,History,0,,,,,,,,,,,,,,,,,,,
Fantasy,Horror,85,,,,,,,,,,,,,,,,,,,
Fantasy,Music,13,,,,,,,,,,,,,,,,,,,
Fantasy,Musical,28,,,,,,,,,,,,,,,,,,,
Fantasy,Romance,89,,,,,,,,,,,,,,,,,,,
Fantasy,Sci-Fi,69,,,,,,,,,,,,,,,,,,,
Fantasy,Sport,4,,,,,,,,,,,,,,,,,,,
Fantasy,Thriller,83,,,,,,,,,,,,,,,,,,,
Fantasy,War,5,,,,,,,,,,,,,,,,,,,
Fantasy,Western,2,,,,,,,,,,,,,,,,,,,
History,Horror,1,,,,,,,,,,,,,,,,,,,
History,Music,6,,,,,,,,,,,,,,,,,,,
History,Musical,3,,,,,,,,,,,,,,,,,,,
History,Romance,26,,,,,,,,,,,,,,,,,,,
History,Sci-Fi,0,,,,,,,,,,,,,,,,,,,
History,Sport,6,,,,,,,,,,,,,,,,,,,
History,Thriller,20,,,,,,,,,,,,,,,,,,,
History,War,40,,,,,,,,,,,,,,,,,,,
History,Western,5,,,,,,,,,,,,,,,,,,,
Horror,Music,1,,,,,,,,,,,,,,,,,,,
Horror,Musical,5,,,,,,,,,,,,,,,,,,,
Horror,Romance,11,,,,,,,,,,,,,,,,,,,
Horror,Sci-Fi,84,,,,,,,,,,,,,,,,,,,
Horror,Sport,0,,,,,,,,,,,,,,,,,,,
Horror,Thriller,201,,,,,,,,,,,,,,,,,,,
Horror,War,1,,,,,,,,,,,,,,,,,,,
Horror,Western,0,,,,,,,,,,,,,,,,,,,
Music,Musical,14,,,,,,,,,,,,,,,,,,,
Music,Romance,47,,,,,,,,,,,,,,,,,,,
Music,Sci-Fi,4,,,,,,,,,,,,,,,,,,,
Music,Sport,0,,,,,,,,,,,,,,,,,,,
Music,Thriller,5,,,,,,,,,,,,,,,,,,,
Music,War,2,,,,,,,,,,,,,,,,,,,
Music,Western,1,,,,,,,,,,,,,,,,,,,
Musical,Romance,39,,,,,,,,,,,,,,,,,,,
Musical,Sci-Fi,3,,,,,,,,,,,,,,,,,,,
Musical,Sport,0,,,,,,,,,,,,,,,,,,,
Musical,Thriller,2,,,,,,,,,,,,,,,,,,,
Musical,War,2,,,,,,,,,,,,,,,,,,,
Musical,Western,1,,,,,,,,,,,,,,,,,,,
Romance,Sci-Fi,34,,,,,,,,,,,,,,,,,,,
Romance,Sport,27,,,,,,,,,,,,,,,,,,,
Romance,Thriller,87,,,,,,,,,,,,,,,,,,,
Romance,War,27,,,,,,,,,,,,,,,,,,,
Romance,Western,12,,,,,,,,,,,,,,,,,,,
Sci-Fi,Sport,4,,,,,,,,,,,,,,,,,,,
