Year,index,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,,Year,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Romance,Sci-Fi,Sport,Thriller,War,Western,Total,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Romance,Sci-Fi,Sport,Thriller,War,Western,Total
1957,3520,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1994,17,10,1,26,19,26,7,9,1,3,0,1,10,3,1,17,1,2,154,11.03896104,6.493506494,0.649350649,16.88311688,12.33766234,16.88311688,4.545454545,5.844155844,0.649350649,1.948051948,0,0.649350649,6.493506494,1.948051948,0.649350649,11.03896104,0.649350649,1.298701299,100
1959,3488,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,1995,23,13,2,23,17,37,5,9,5,6,1,1,16,6,0,27,3,1,195,11.79487179,6.666666667,1.025641026,11.79487179,8.717948718,18.97435897,2.564102564,4.615384615,2.564102564,3.076923077,0.512820513,0.512820513,8.205128205,3.076923077,0,13.84615385,1.538461538,0.512820513,100
1960,3556,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,,1996,22,17,3,35,23,59,6,8,4,7,3,3,23,10,6,35,3,0,267,8.239700375,6.367041199,1.123595506,13.10861423,8.61423221,22.09737828,2.247191011,2.996254682,1.498127341,2.621722846,1.123595506,1.123595506,8.61423221,3.745318352,2.247191011,13.10861423,1.123595506,0,100
1961,3585,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,,1997,34,17,3,33,26,51,9,8,3,7,4,2,17,21,2,39,4,0,280,12.14285714,6.071428571,1.071428571,11.78571429,9.285714286,18.21428571,3.214285714,2.857142857,1.071428571,2.5,1.428571429,0.714285714,6.071428571,7.5,0.714285714,13.92857143,1.428571429,0,100
1962,3439,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,,1998,27,20,6,58,23,66,14,14,3,9,3,4,29,14,3,29,3,3,328,8.231707317,6.097560976,1.829268293,17.68292683,7.012195122,20.12195122,4.268292683,4.268292683,0.914634146,2.743902439,0.914634146,1.219512195,8.841463415,4.268292683,0.914634146,8.841463415,0.914634146,0.914634146,100
1963,10581,2,2,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,,1999,22,18,5,80,23,89,12,18,5,12,6,3,39,21,7,43,6,3,412,5.339805825,4.368932039,1.213592233,19.41747573,5.582524272,21.60194175,2.912621359,4.368932039,1.213592233,2.912621359,1.45631068,0.72815534,9.466019417,5.097087379,1.699029126,10.4368932,1.45631068,0.72815534,100
1964,13998,1,1,0,2,0,0,2,2,1,0,0,0,0,3,0,2,0,0,1,0,0,,2000,31,30,9,73,33,77,18,18,2,15,10,2,38,18,8,42,2,3,429,7.226107226,6.993006993,2.097902098,17.01631702,7.692307692,17.94871795,4.195804196,4.195804196,0.466200466,3.496503497,2.331002331,0.466200466,8.857808858,4.195804196,1.864801865,9.79020979,0.466200466,0.699300699,100
1965,11403,1,2,0,0,0,0,3,1,0,0,1,0,0,1,0,2,0,0,1,2,1,,2001,41,27,8,82,45,79,14,21,3,11,7,3,46,21,6,52,7,2,475,8.631578947,5.684210526,1.684210526,17.26315789,9.473684211,16.63157895,2.947368421,4.421052632,0.631578947,2.315789474,1.473684211,0.631578947,9.684210526,4.421052632,1.263157895,10.94736842,1.473684211,0.421052632,100
1967,3552,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,2002,41,33,9,77,40,106,24,17,3,13,7,4,47,20,10,58,9,1,519,7.899807322,6.358381503,1.734104046,14.83622351,7.707129094,20.4238921,4.624277457,3.275529865,0.578034682,2.504816956,1.348747592,0.770712909,9.055876686,3.853564547,1.926782274,11.17533719,1.734104046,0.192678227,100
1968,6493,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,,2003,39,30,5,64,30,59,19,20,7,12,5,5,31,15,2,40,7,1,391,9.974424552,7.672634271,1.278772379,16.36828645,7.672634271,15.08951407,4.859335038,5.115089514,1.79028133,3.069053708,1.278772379,1.278772379,7.928388747,3.836317136,0.511508951,10.23017903,1.79028133,0.255754476,100
1969,6920,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,2004,33,27,8,81,28,75,24,16,4,17,8,5,54,17,9,47,4,3,460,7.173913043,5.869565217,1.739130435,17.60869565,6.086956522,16.30434783,5.217391304,3.47826087,0.869565217,3.695652174,1.739130435,1.086956522,11.73913043,3.695652174,1.956521739,10.2173913,0.869565217,0.652173913,100
1970,6250,1,0,0,2,0,1,3,0,0,0,2,0,2,1,0,1,0,0,0,2,0,,2005,35,37,8,72,33,92,26,16,7,21,7,4,43,16,12,51,5,3,488,7.172131148,7.581967213,1.639344262,14.75409836,6.762295082,18.85245902,5.327868852,3.278688525,1.43442623,4.303278689,1.43442623,0.819672131,8.81147541,3.278688525,2.459016393,10.45081967,1.024590164,0.614754098,100
1971,11939,1,1,0,0,1,0,3,1,1,0,0,0,0,1,0,1,0,0,2,0,0,,2006,29,34,15,68,30,91,28,23,9,17,9,3,39,17,12,49,4,0,477,6.07966457,7.1278826,3.144654088,14.2557652,6.289308176,19.07756813,5.870020964,4.821802935,1.886792453,3.5639413,1.886792453,0.628930818,8.176100629,3.5639413,2.51572327,10.27253669,0.838574423,0,100
1972,5380,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,2007,25,24,10,54,28,68,18,21,6,16,9,3,35,10,8,42,9,3,389,6.426735219,6.16966581,2.570694087,13.88174807,7.197943445,17.48071979,4.627249357,5.398457584,1.542416452,4.11311054,2.313624679,0.771208226,8.997429306,2.570694087,2.05655527,10.79691517,2.313624679,0.771208226,100
1973,15758,1,1,0,2,2,0,3,0,0,0,0,1,1,0,0,1,0,0,2,0,0,,2008,40,34,8,70,28,87,22,23,8,17,7,4,47,20,9,43,10,0,477,8.385744235,7.1278826,1.677148847,14.67505241,5.870020964,18.23899371,4.612159329,4.821802935,1.677148847,3.5639413,1.467505241,0.838574423,9.853249476,4.192872117,1.886792453,9.014675052,2.096436059,0,100
1974,23881,1,2,0,2,1,0,1,1,0,0,0,2,0,0,0,1,0,0,3,0,1,,2009,36,34,14,68,25,87,26,29,4,19,8,4,49,31,6,43,3,0,486,7.407407407,6.995884774,2.880658436,13.99176955,5.144032922,17.90123457,5.349794239,5.967078189,0.823045267,3.909465021,1.646090535,0.823045267,10.08230453,6.378600823,1.234567901,8.847736626,0.617283951,0,100
1975,9181,0,2,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,2010,45,29,9,70,23,75,28,33,5,17,5,3,47,14,4,47,3,3,460,9.782608696,6.304347826,1.956521739,15.2173913,5,16.30434783,6.086956522,7.173913043,1.086956522,3.695652174,1.086956522,0.652173913,10.2173913,3.043478261,0.869565217,10.2173913,0.652173913,0.652173913,100
1976,6732,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,2011,46,34,13,68,21,76,23,19,4,14,3,5,28,23,5,50,4,1,437,10.52631579,7.780320366,2.974828375,15.56064073,4.805491991,17.39130435,5.263157895,4.347826087,0.915331808,3.203661327,0.686498856,1.14416476,6.407322654,5.263157895,1.14416476,11.4416476,0.915331808,0.228832952,100
1977,20801,2,3,0,1,0,0,3,0,1,0,1,1,0,0,0,2,4,0,1,2,0,,2012,43,36,9,59,26,67,16,26,4,22,6,4,29,22,4,50,3,1,427,10.07025761,8.430913349,2.107728337,13.81733021,6.088992974,15.69086651,3.7470726,6.088992974,0.93676815,5.152224824,1.405152225,0.93676815,6.791569087,5.152224824,0.93676815,11.70960187,0.702576112,0.234192037,100
1978,25345,2,4,0,1,0,0,1,1,1,0,1,4,1,2,0,2,1,0,4,0,0,,2013,41,37,13,52,31,76,18,27,3,16,7,3,24,24,5,49,3,1,430,9.534883721,8.604651163,3.023255814,12.09302326,7.209302326,17.6744186,4.186046512,6.279069767,0.697674419,3.720930233,1.627906977,0.697674419,5.581395349,5.581395349,1.162790698,11.39534884,0.697674419,0.23255814,100
1979,20036,1,2,0,0,1,0,3,0,0,0,0,1,1,0,1,1,3,0,1,1,0,,2014,47,37,10,48,25,76,18,22,5,11,7,5,23,23,6,39,9,2,413,11.38014528,8.958837772,2.421307506,11.62227603,6.053268765,18.40193705,4.358353511,5.326876513,1.210653753,2.663438257,1.694915254,1.210653753,5.569007264,5.569007264,1.452784504,9.443099274,2.179176755,0.484261501,100
1980,33635,4,4,0,5,1,0,4,0,3,0,0,2,1,1,1,2,2,2,2,1,1,,2015,30,33,12,40,22,64,17,16,9,12,7,0,16,25,7,39,1,2,352,8.522727273,9.375,3.409090909,11.36363636,6.25,18.18181818,4.829545455,4.545454545,2.556818182,3.409090909,1.988636364,0,4.545454545,7.102272727,1.988636364,11.07954545,0.284090909,0.568181818,100
